Atom_Index,Y_Position_px,X_Position_px,Defect_Class
0,216.0,170.0,1.0
1,252.0,175.0,1.0
2,305.0,170.0,3.0
3,305.0,345.0,1.0
4,277.0,435.0,4.0
5,41.0,481.0,1.0
6,355.0,341.0,1.0
7,190.0,260.0,3.0
8,343.0,483.0,3.0
9,243.0,277.0,3.0
10,477.0,385.0,3.0
11,107.0,47.0,1.0
12,473.0,76.0,1.0
13,438.0,245.0,3.0
14,48.0,109.0,3.0
15,460.0,497.0,1.0
16,399.0,231.0,1.0
17,457.0,15.0,1.0
18,212.0,489.0,1.0
19,382.0,219.0,1.0
20,231.0,481.0,1.0
22,422.0,12.0,1.0
23,195.0,148.0,1.0
24,462.0,476.0,1.0
25,379.0,240.0,1.0
26,396.0,252.0,1.0
27,365.0,413.0,3.0
28,481.0,468.0,1.0
29,405.0,325.0,1.0
30,151.0,399.0,1.0
32,421.0,202.0,1.0
33,483.0,447.0,1.0
34,250.0,472.0,1.0
36,384.0,199.0,1.0
39,413.0,264.0,1.0
42,156.0,358.0,1.0
43,209.0,180.0,1.0
44,121.0,28.0,1.0
46,207.0,201.0,1.0
47,383.0,354.0,1.0
48,443.0,485.0,1.0
49,33.0,201.0,1.0
50,217.0,448.0,1.0
51,422.0,338.0,1.0
52,260.0,217.0,1.0
53,489.0,89.0,3.0
54,19.0,168.0,1.0
55,208.0,374.0,1.0
56,375.0,280.0,1.0
57,390.0,293.0,1.0
58,226.0,193.0,1.0
59,416.0,243.0,1.0
61,401.0,366.0,1.0
62,472.0,270.0,1.0
63,424.0,317.0,1.0
64,367.0,187.0,1.0
65,146.0,441.0,1.0
66,215.0,140.0,1.0
67,27.0,242.0,1.0
68,321.0,131.0,1.0
69,243.0,204.0,1.0
70,191.0,363.0,1.0
71,438.0,350.0,1.0
72,172.0,371.0,1.0
73,404.0,190.0,1.0
74,256.0,258.0,1.0
76,453.0,54.0,1.0
77,13.0,209.0,1.0
78,271.0,289.0,1.0
79,430.0,431.0,1.0
80,386.0,178.0,1.0
81,247.0,164.0,1.0
82,190.0,189.0,1.0
83,205.0,395.0,1.0
84,301.0,386.0,6.0
85,419.0,223.0,1.0
86,158.0,493.0,1.0
87,203.0,416.0,1.0
88,451.0,403.0,1.0
89,241.0,400.0,1.0
91,88.0,485.0,1.0
92,224.0,387.0,1.0
93,48.0,40.0,1.0
94,25.0,417.0,1.0
95,497.0,131.0,1.0
96,83.0,371.0,1.0
97,499.0,110.0,1.0
98,178.0,466.0,1.0
99,264.0,176.0,1.0
100,297.0,200.0,1.0
101,320.0,480.0,1.0
103,220.0,253.0,1.0
104,442.0,308.0,1.0
105,259.0,392.0,1.0
106,22.0,438.0,1.0
107,95.0,425.0,1.0
109,247.0,338.0,1.0
110,369.0,166.0,1.0
111,102.0,362.0,1.0
112,116.0,68.0,1.0
113,43.0,408.0,1.0
114,53.0,482.0,1.0
116,222.0,233.0,1.0
117,278.0,208.0,1.0
118,70.0,494.0,1.0
119,252.0,297.0,1.0
121,475.0,334.0,1.0
122,125.0,469.0,1.0
123,288.0,107.0,1.0
124,44.0,254.0,1.0
125,432.0,410.0,1.0
126,14.0,499.0,1.0
127,163.0,297.0,1.0
128,379.0,395.0,1.0
129,114.0,416.0,1.0
130,14.0,363.0,1.0
131,79.0,412.0,1.0
132,428.0,452.0,1.0
133,161.0,318.0,1.0
135,391.0,138.0,1.0
136,82.0,392.0,1.0
138,67.0,358.0,1.0
139,97.0,76.0,1.0
140,17.0,478.0,1.0
141,394.0,272.0,1.0
142,60.0,421.0,1.0
143,376.0,106.0,1.0
144,80.0,64.0,1.0
146,374.0,477.0,1.0
147,341.0,102.0,1.0
148,284.0,147.0,1.0
151,315.0,191.0,1.0
152,249.0,143.0,1.0
153,216.0,294.0,1.0
155,404.0,68.0,3.0
156,343.0,82.0,1.0
157,359.0,444.0,1.0
158,444.0,288.0,1.0
159,222.0,130.0,3.0
160,137.0,367.0,1.0
163,382.0,46.0,1.0
164,393.0,118.0,1.0
166,436.0,370.0,1.0
167,165.0,276.0,1.0
168,323.0,161.0,1.0
169,304.0,119.0,1.0
171,296.0,271.0,3.0
172,240.0,245.0,1.0
174,452.0,382.0,1.0
175,266.0,330.0,1.0
176,251.0,123.0,1.0
177,427.0,123.0,1.0
178,401.0,88.0,3.0
179,182.0,289.0,1.0
180,254.0,432.0,1.0
181,365.0,258.0,1.0
182,186.0,456.0,1.0
184,295.0,292.0,1.0
186,68.0,338.0,1.0
187,180.0,167.0,3.0
188,56.0,151.0,1.0
189,350.0,329.0,1.0
190,165.0,154.0,1.0
191,359.0,94.0,1.0
192,250.0,195.0,1.0
194,278.0,383.0,1.0
195,414.0,89.0,1.0
196,412.0,440.0,1.0
197,227.0,419.0,1.0
198,174.0,402.0,3.0
200,361.0,299.0,1.0
201,339.0,173.0,1.0
202,289.0,488.0,1.0
203,241.0,451.0,1.0
204,422.0,61.0,1.0
205,133.0,440.0,3.0
206,215.0,314.0,1.0
207,337.0,193.0,3.0
208,335.0,214.0,4.0
210,494.0,151.0,1.0
211,373.0,26.0,3.0
212,142.0,325.0,1.0
213,307.0,150.0,3.0
214,74.0,143.0,1.0
215,310.0,460.0,4.0
216,287.0,456.0,1.0
217,202.0,467.0,1.0
219,433.0,255.0,1.0
220,67.0,33.0,1.0
221,386.0,76.0,3.0
222,203.0,242.0,1.0
223,62.0,246.0,1.0
224,362.0,125.0,1.0
225,406.0,49.0,1.0
226,160.0,195.0,3.0
227,424.0,41.0,1.0
228,269.0,187.0,1.0
229,415.0,296.0,3.0
230,117.0,447.0,3.0
231,146.0,492.0,1.0
232,393.0,469.0,1.0
233,257.0,462.0,1.0
234,382.0,271.0,1.0
235,280.0,260.0,3.0
237,260.0,443.0,3.0
238,156.0,236.0,1.0
239,222.0,79.0,1.0
240,393.0,448.0,1.0
241,234.0,460.0,1.0
242,233.0,183.0,1.0
243,193.0,497.0,1.0
244,132.0,459.0,3.0
245,267.0,206.0,1.0
246,102.0,209.0,1.0
247,243.0,431.0,1.0
248,23.0,108.0,1.0
249,302.0,488.0,1.0
250,376.0,157.0,1.0
251,118.0,375.0,1.0
252,436.0,42.0,1.0
253,462.0,26.0,1.0
254,212.0,212.0,1.0
256,45.0,285.0,1.0
257,144.0,203.0,4.0
258,407.0,221.0,1.0
259,478.0,37.0,4.0
260,408.0,31.0,1.0
