Atom_Index,Y_Position_px,X_Position_px,Defect_Class
1,454.0,414.0,3.0
3,445.0,299.0,3.0
4,419.0,274.0,6.0
5,263.0,458.0,3.0
6,478.0,271.0,1.0
7,474.0,313.0,1.0
8,455.0,322.0,1.0
9,489.0,345.0,1.0
11,499.0,241.0,1.0
12,466.0,112.0,4.0
14,343.0,374.0,6.0
15,476.0,292.0,1.0
16,210.0,406.0,1.0
17,453.0,101.0,5.0
18,226.0,419.0,1.0
19,487.0,366.0,1.0
21,499.0,85.0,1.0
22,453.0,343.0,1.0
23,201.0,469.0,1.0
24,414.0,353.0,1.0
26,207.0,428.0,1.0
27,461.0,259.0,1.0
28,232.0,493.0,1.0
31,292.0,366.0,6.0
32,192.0,393.0,1.0
34,480.0,93.0,1.0
35,478.0,114.0,1.0
36,161.0,485.0,1.0
37,395.0,362.0,1.0
38,401.0,419.0,6.0
39,38.0,439.0,1.0
40,34.0,461.0,1.0
41,86.0,360.0,1.0
42,187.0,435.0,1.0
43,401.0,274.0,6.0
45,415.0,329.0,1.0
47,48.0,351.0,1.0
48,370.0,390.0,1.0
49,172.0,403.0,1.0
50,22.0,296.0,1.0
52,396.0,340.0,1.0
53,187.0,307.0,1.0
56,457.0,374.0,3.0
57,422.0,402.0,6.0
60,483.0,427.0,1.0
61,279.0,439.0,1.0
62,311.0,391.0,1.0
64,430.0,434.0,1.0
65,383.0,427.0,6.0
66,494.0,304.0,1.0
67,477.0,344.0,1.0
68,479.0,324.0,1.0
69,495.0,283.0,1.0
70,490.0,398.0,1.0
71,180.0,32.0,6.0
72,252.0,391.0,1.0
73,247.0,411.0,1.0
75,100.0,394.0,1.0
77,439.0,402.0,6.0
78,474.0,386.0,1.0
81,461.0,333.0,1.0
83,412.0,446.0,1.0
84,276.0,223.0,1.0
85,240.0,484.0,1.0
87,156.0,442.0,4.0
88,499.0,136.0,1.0
89,64.0,367.0,1.0
90,220.0,461.0,1.0
91,490.0,418.0,1.0
92,329.0,405.0,1.0
93,439.0,341.0,4.0
94,158.0,422.0,4.0
95,169.0,475.0,1.0
96,92.0,487.0,1.0
97,224.0,473.0,3.0
98,148.0,483.0,6.0
99,307.0,121.0,6.0
100,436.0,423.0,1.0
101,370.0,420.0,6.0
102,127.0,348.0,1.0
103,486.0,240.0,1.0
104,463.0,291.0,1.0
106,228.0,452.0,1.0
107,172.0,455.0,1.0
108,185.0,487.0,1.0
109,243.0,464.0,1.0
110,459.0,354.0,1.0
111,441.0,363.0,2.0
112,231.0,398.0,1.0
113,296.0,486.0,6.0
114,461.0,311.0,1.0
115,419.0,495.0,1.0
116,455.0,395.0,4.0
118,37.0,492.0,1.0
119,16.0,170.0,6.0
120,471.0,427.0,3.0
121,163.0,383.0,3.0
123,312.0,491.0,1.0
124,418.0,420.0,3.0
126,155.0,389.0,1.0
127,282.0,143.0,6.0
128,153.0,462.0,4.0
129,283.0,83.0,6.0
130,221.0,491.0,3.0
132,454.0,435.0,3.0
134,487.0,187.0,1.0
137,205.0,480.0,3.0
139,471.0,72.0,6.0
140,166.0,496.0,1.0
141,223.0,440.0,1.0
142,447.0,279.0,6.0
143,350.0,427.0,4.0
145,488.0,439.0,3.0
146,466.0,271.0,1.0
147,491.0,324.0,1.0
148,480.0,468.0,1.0
149,393.0,395.0,3.0
150,75.0,441.0,6.0
151,469.0,249.0,3.0
152,203.0,448.0,1.0
153,470.0,447.0,4.0
154,139.0,381.0,1.0
156,483.0,282.0,1.0
157,485.0,261.0,1.0
