Atom_Index,Y_Position_px,X_Position_px,Defect_Class
0,683.0,26.0,1.0
1,991.0,324.0,3.0
2,844.0,799.0,3.0
4,485.0,186.0,4.0
5,833.0,779.0,1.0
6,852.0,614.0,1.0
7,842.0,697.0,3.0
8,924.0,381.0,3.0
9,893.0,209.0,3.0
10,898.0,168.0,3.0
11,769.0,115.0,1.0
12,928.0,577.0,3.0
13,710.0,598.0,1.0
14,183.0,174.0,3.0
15,973.0,976.0,3.0
16,86.0,763.0,3.0
17,490.0,456.0,4.0
18,560.0,54.0,1.0
20,960.0,259.0,1.0
21,266.0,104.0,1.0
22,600.0,997.0,3.0
23,900.0,826.0,1.0
24,425.0,59.0,4.0
25,630.0,62.0,3.0
26,718.0,514.0,3.0
27,525.0,29.0,1.0
28,621.0,143.0,3.0
29,856.0,923.0,1.0
30,235.0,40.0,5.0
31,792.0,836.0,1.0
32,626.0,102.0,1.0
33,161.0,730.0,3.0
35,948.0,382.0,1.0
36,820.0,592.0,1.0
37,659.0,125.0,1.0
38,756.0,497.0,1.0
39,537.0,254.0,4.0
40,935.0,850.0,1.0
41,915.0,49.0,1.0
42,728.0,172.0,1.0
43,823.0,548.0,1.0
44,723.0,786.0,1.0
45,735.0,92.0,1.0
46,966.0,217.0,1.0
47,101.0,642.0,4.0
48,283.0,596.0,3.0
49,23.0,671.0,4.0
50,924.0,618.0,3.0
51,471.0,515.0,3.0
52,377.0,402.0,3.0
53,288.0,555.0,3.0
54,187.0,134.0,1.0
55,828.0,861.0,1.0
56,520.0,68.0,3.0
57,748.0,580.0,1.0
58,554.0,95.0,1.0
59,128.0,706.0,3.0
60,643.0,287.0,3.0
62,999.0,242.0,1.0
63,441.0,450.0,3.0
64,345.0,336.0,5.0
65,380.0,359.0,6.0
66,279.0,638.0,3.0
67,967.0,565.0,6.0
68,649.0,508.0,4.0
69,307.0,704.0,1.0
70,951.0,341.0,1.0
71,568.0,632.0,1.0
72,744.0,622.0,1.0
73,369.0,134.0,3.0
74,994.0,285.0,3.0
75,942.0,769.0,1.0
76,473.0,819.0,3.0
77,754.0,538.0,3.0
78,433.0,223.0,1.0
79,533.0,297.0,1.0
80,351.0,646.0,3.0
81,930.0,891.0,1.0
82,141.0,231.0,1.0
83,65.0,655.0,3.0
84,787.0,567.0,1.0
86,175.0,609.0,4.0
87,449.0,62.0,1.0
88,462.0,349.0,1.0
89,668.0,45.0,4.0
90,695.0,724.0,3.0
91,575.0,546.0,3.0
92,512.0,149.0,3.0
93,804.0,714.0,1.0
94,584.0,159.0,3.0
95,605.0,613.0,1.0
96,115.0,516.0,3.0
97,494.0,966.0,3.0
98,566.0,672.0,1.0
