Atom_Index,Y_Position_px,X_Position_px,Defect_Class
0,18.0,340.0,4.0
1,992.0,368.0,3.0
2,567.0,481.0,6.0
3,520.0,345.0,1.0
4,381.0,590.0,4.0
5,952.0,223.0,3.0
6,154.0,112.0,4.0
7,86.0,49.0,1.0
8,895.0,646.0,4.0
9,21.0,639.0,3.0
10,193.0,317.0,1.0
11,815.0,390.0,3.0
12,100.0,855.0,1.0
13,75.0,649.0,3.0
14,414.0,614.0,3.0
15,575.0,315.0,5.0
16,825.0,227.0,4.0
17,612.0,928.0,1.0
18,489.0,820.0,3.0
19,50.0,290.0,1.0
20,165.0,682.0,3.0
21,605.0,288.0,1.0
22,625.0,705.0,6.0
23,918.0,385.0,1.0
24,651.0,45.0,1.0
25,520.0,661.0,3.0
26,244.0,409.0,1.0
27,293.0,852.0,3.0
28,580.0,885.0,1.0
29,302.0,41.0,3.0
30,937.0,923.0,3.0
31,439.0,857.0,1.0
32,602.0,981.0,6.0
33,392.0,429.0,3.0
34,271.0,669.0,5.0
35,582.0,419.0,1.0
36,242.0,880.0,4.0
37,544.0,459.0,3.0
38,82.0,415.0,6.0
39,529.0,718.0,1.0
40,28.0,537.0,3.0
41,653.0,847.0,5.0
42,367.0,448.0,1.0
43,486.0,995.0,3.0
44,86.0,1008.0,1.0
45,143.0,959.0,1.0
46,61.0,486.0,4.0
47,235.0,910.0,3.0
48,144.0,357.0,1.0
49,629.0,492.0,3.0
50,189.0,398.0,1.0
51,172.0,389.0,1.0
52,816.0,825.0,3.0
53,302.0,976.0,1.0
54,651.0,422.0,1.0
55,642.0,267.0,1.0
56,572.0,916.0,3.0
57,937.0,355.0,1.0
58,86.0,671.0,1.0
59,191.0,807.0,3.0
60,19.0,927.0,1.0
61,332.0,446.0,1.0
62,266.0,339.0,1.0
63,66.0,363.0,1.0
64,321.0,987.0,1.0
65,63.0,740.0,3.0
66,546.0,417.0,1.0
67,552.0,965.0,3.0
68,66.0,341.0,1.0
69,123.0,673.0,3.0
70,271.0,891.0,1.0
71,284.0,1008.0,6.0
72,642.0,359.0,1.0
73,26.0,402.0,6.0
74,736.0,591.0,4.0
75,702.0,119.0,1.0
76,116.0,775.0,1.0
77,288.0,923.0,1.0
78,46.0,414.0,1.0
79,557.0,510.0,1.0
80,370.0,406.0,3.0
81,642.0,940.0,1.0
82,872.0,629.0,4.0
83,338.0,978.0,1.0
84,39.0,895.0,1.0
85,278.0,128.0,6.0
86,221.0,524.0,1.0
87,484.0,922.0,1.0
88,69.0,281.0,1.0
89,635.0,765.0,3.0
90,20.0,187.0,1.0
91,646.0,879.0,1.0
92,928.0,315.0,4.0
93,671.0,17.0,3.0
94,163.0,592.0,3.0
96,894.0,497.0,1.0
97,957.0,122.0,1.0
98,906.0,49.0,6.0
99,395.0,887.0,1.0
100,863.0,414.0,1.0
101,611.0,837.0,1.0
102,122.0,693.0,6.0
103,536.0,934.0,1.0
104,252.0,607.0,6.0
105,315.0,435.0,1.0
106,212.0,287.0,3.0
107,50.0,310.0,1.0
108,762.0,100.0,3.0
109,121.0,713.0,1.0
110,449.0,881.0,6.0
111,196.0,971.0,1.0
112,540.0,480.0,3.0
113,122.0,314.0,1.0
114,301.0,860.0,6.0
115,77.0,814.0,1.0
116,563.0,33.0,1.0
117,217.0,898.0,4.0
118,260.0,441.0,1.0
119,164.0,152.0,3.0
120,116.0,908.0,4.0
121,346.0,103.0,3.0
122,89.0,251.0,4.0
123,958.0,305.0,1.0
124,464.0,577.0,1.0
125,716.0,903.0,1.0
126,551.0,986.0,4.0
128,189.0,420.0,1.0
129,846.0,197.0,4.0
130,500.0,578.0,1.0
131,964.0,223.0,1.0
132,204.0,487.0,6.0
133,100.0,741.0,3.0
134,609.0,897.0,3.0
135,567.0,345.0,3.0
136,366.0,52.0,1.0
137,921.0,50.0,6.0
138,171.0,766.0,1.0
139,865.0,372.0,3.0
140,297.0,12.0,6.0
141,506.0,830.0,1.0
142,105.0,999.0,1.0
143,257.0,838.0,3.0
144,488.0,933.0,1.0
145,452.0,838.0,1.0
146,534.0,640.0,1.0
147,419.0,775.0,1.0
148,288.0,589.0,1.0
149,82.0,732.0,4.0
150,175.0,704.0,1.0
151,514.0,1006.0,1.0
152,59.0,507.0,3.0
153,178.0,624.0,3.0
154,696.0,953.0,1.0
155,830.0,784.0,1.0
156,590.0,928.0,3.0
157,508.0,788.0,1.0
158,547.0,376.0,1.0
159,273.0,161.0,1.0
160,587.0,948.0,4.0
161,142.0,265.0,1.0
162,295.0,51.0,1.0
163,939.0,111.0,3.0
164,633.0,453.0,1.0
165,596.0,450.0,1.0
166,257.0,483.0,1.0
167,953.0,599.0,6.0
168,961.0,791.0,3.0
169,481.0,963.0,6.0
170,32.0,659.0,1.0
172,600.0,16.0,1.0
173,198.0,594.0,1.0
174,553.0,234.0,6.0
175,160.0,234.0,3.0
176,417.0,814.0,1.0
177,487.0,880.0,3.0
178,80.0,905.0,3.0
179,149.0,499.0,1.0
180,227.0,379.0,3.0
181,683.0,129.0,3.0
182,801.0,226.0,6.0
183,65.0,383.0,1.0
184,350.0,436.0,6.0
185,991.0,410.0,4.0
186,115.0,61.0,1.0
187,585.0,1010.0,3.0
188,382.0,85.0,1.0
189,42.0,609.0,1.0
190,622.0,992.0,3.0
191,301.0,996.0,1.0
192,448.0,546.0,3.0
193,346.0,478.0,3.0
194,517.0,965.0,3.0
195,142.0,980.0,1.0
196,900.0,375.0,1.0
197,644.0,567.0,1.0
198,218.0,276.0,4.0
199,99.0,424.0,1.0
200,919.0,345.0,1.0
201,427.0,595.0,1.0
202,676.0,47.0,1.0
203,789.0,583.0,3.0
204,47.0,731.0,1.0
205,283.0,370.0,3.0
206,381.0,105.0,1.0
207,121.0,334.0,1.0
208,824.0,473.0,1.0
209,112.0,1010.0,1.0
210,774.0,811.0,1.0
211,973.0,61.0,1.0
212,671.0,392.0,4.0
213,505.0,852.0,1.0
214,86.0,311.0,5.0
215,155.0,713.0,1.0
216,349.0,42.0,1.0
217,498.0,974.0,3.0
218,239.0,829.0,3.0
219,606.0,267.0,1.0
220,261.0,421.0,3.0
221,141.0,662.0,1.0
222,313.0,62.0,1.0
223,635.0,744.0,3.0
224,732.0,934.0,1.0
225,618.0,776.0,6.0
226,320.0,966.0,1.0
227,574.0,895.0,3.0
228,635.0,18.0,3.0
230,63.0,402.0,1.0
231,112.0,140.0,4.0
232,440.0,371.0,3.0
233,939.0,22.0,1.0
234,134.0,122.0,1.0
235,705.0,78.0,1.0
236,101.0,117.0,4.0
237,448.0,902.0,1.0
238,950.0,152.0,1.0
239,716.0,508.0,3.0
240,471.0,849.0,3.0
241,822.0,702.0,3.0
242,917.0,90.0,1.0
243,909.0,1003.0,3.0
245,108.0,599.0,1.0
246,116.0,458.0,1.0
247,839.0,207.0,3.0
248,132.0,529.0,3.0
249,144.0,602.0,3.0
250,368.0,499.0,3.0
251,119.0,733.0,1.0
252,67.0,678.0,1.0
253,629.0,136.0,1.0
254,211.0,307.0,1.0
255,689.0,118.0,3.0
256,793.0,782.0,1.0
257,585.0,711.0,1.0
258,132.0,847.0,1.0
