Atom_Index,Y_Position_px,X_Position_px,Defect_Class
1,852.0,607.0,4.0
2,981.0,228.0,3.0
3,94.0,771.0,4.0
4,919.0,100.0,5.0
5,184.0,268.0,5.0
6,513.0,194.0,4.0
7,739.0,348.0,4.0
8,363.0,614.0,4.0
9,884.0,631.0,5.0
10,480.0,878.0,4.0
11,705.0,322.0,1.0
12,665.0,339.0,3.0
14,890.0,591.0,4.0
15,687.0,590.0,3.0
16,443.0,89.0,5.0
17,821.0,542.0,4.0
18,881.0,674.0,5.0
19,778.0,600.0,5.0
20,775.0,744.0,4.0
21,589.0,724.0,4.0
22,918.0,656.0,5.0
23,825.0,958.0,4.0
24,758.0,805.0,3.0
25,487.0,35.0,1.0
26,693.0,93.0,4.0
27,480.0,381.0,5.0
28,894.0,899.0,3.0
29,284.0,690.0,5.0
30,695.0,506.0,4.0
31,379.0,40.0,4.0
32,700.0,364.0,4.0
33,762.0,765.0,3.0
34,429.0,561.0,4.0
35,642.0,335.0,3.0
36,639.0,898.0,3.0
37,723.0,781.0,3.0
38,845.0,691.0,5.0
39,456.0,628.0,4.0
40,665.0,33.0,4.0
41,488.0,296.0,4.0
42,645.0,815.0,3.0
43,894.0,548.0,3.0
44,429.0,213.0,4.0
45,829.0,193.0,3.0
46,748.0,263.0,4.0
47,460.0,33.0,3.0
48,679.0,840.0,4.0
49,682.0,797.0,4.0
50,987.0,350.0,1.0
51,847.0,650.0,5.0
52,531.0,594.0,4.0
54,526.0,280.0,4.0
55,728.0,119.0,5.0
56,520.0,321.0,4.0
57,493.0,254.0,4.0
58,717.0,863.0,4.0
59,442.0,791.0,5.0
60,169.0,906.0,5.0
61,987.0,44.0,4.0
62,632.0,313.0,3.0
63,821.0,895.0,4.0
64,750.0,888.0,4.0
65,973.0,515.0,4.0
66,808.0,47.0,6.0
67,639.0,857.0,3.0
68,538.0,551.0,3.0
69,437.0,130.0,5.0
70,638.0,270.0,5.0
71,654.0,731.0,4.0
72,442.0,357.0,5.0
73,196.0,390.0,3.0
74,720.0,509.0,4.0
75,675.0,568.0,3.0
76,433.0,520.0,4.0
77,862.0,837.0,4.0
78,201.0,347.0,4.0
79,592.0,331.0,3.0
80,48.0,110.0,1.0
81,365.0,471.0,4.0
82,806.0,707.0,5.0
83,689.0,236.0,3.0
84,499.0,569.0,4.0
85,947.0,719.0,3.0
86,59.0,687.0,4.0
87,119.0,115.0,5.0
88,791.0,829.0,4.0
89,707.0,945.0,4.0
90,934.0,490.0,4.0
91,228.0,107.0,5.0
92,364.0,162.0,5.0
93,971.0,554.0,6.0
94,980.0,431.0,4.0
95,581.0,494.0,4.0
97,779.0,953.0,3.0
98,543.0,216.0,4.0
99,855.0,916.0,3.0
100,964.0,245.0,1.0
101,775.0,642.0,4.0
102,597.0,289.0,3.0
103,517.0,361.0,5.0
104,319.0,926.0,5.0
105,534.0,903.0,4.0
106,850.0,960.0,3.0
107,190.0,782.0,4.0
108,265.0,91.0,5.0
109,752.0,846.0,4.0
110,250.0,561.0,3.0
111,254.0,171.0,4.0
112,248.0,213.0,5.0
113,784.0,248.0,5.0
114,507.0,486.0,4.0
115,417.0,26.0,5.0
116,433.0,170.0,5.0
117,570.0,577.0,3.0
118,978.0,472.0,3.0
119,923.0,968.0,4.0
120,468.0,503.0,5.0
121,891.0,942.0,3.0
122,114.0,816.0,4.0
123,666.0,129.0,3.0
125,671.0,297.0,4.0
126,483.0,735.0,3.0
127,622.0,704.0,5.0
128,818.0,585.0,4.0
129,966.0,907.0,4.0
130,149.0,486.0,4.0
131,688.0,134.0,4.0
132,465.0,898.0,3.0
133,760.0,145.0,5.0
134,115.0,156.0,5.0
135,382.0,968.0,5.0
136,342.0,716.0,5.0
137,406.0,415.0,4.0
138,328.0,487.0,5.0
139,514.0,404.0,5.0
140,887.0,77.0,5.0
141,840.0,72.0,3.0
142,495.0,611.0,4.0
143,975.0,268.0,4.0
144,717.0,238.0,4.0
145,802.0,396.0,5.0
146,615.0,747.0,5.0
147,996.0,620.0,4.0
148,675.0,255.0,4.0
149,569.0,223.0,4.0
150,900.0,160.0,4.0
151,865.0,481.0,3.0
152,266.0,750.0,5.0
153,342.0,58.0,5.0
154,457.0,980.0,4.0
155,591.0,372.0,4.0
156,186.0,125.0,6.0
157,306.0,33.0,5.0
160,884.0,984.0,4.0
161,937.0,593.0,4.0
162,981.0,84.0,4.0
163,956.0,593.0,3.0
164,335.0,98.0,5.0
165,366.0,823.0,4.0
166,623.0,87.0,5.0
167,336.0,756.0,4.0
168,101.0,943.0,5.0
169,572.0,888.0,4.0
170,405.0,807.0,4.0
171,398.0,186.0,4.0
172,247.0,916.0,5.0
173,900.0,818.0,5.0
174,928.0,925.0,4.0
175,668.0,965.0,4.0
176,42.0,851.0,4.0
177,969.0,866.0,3.0
178,53.0,730.0,4.0
179,423.0,956.0,4.0
180,986.0,743.0,1.0
181,215.0,890.0,4.0
182,147.0,529.0,4.0
183,460.0,729.0,4.0
184,347.0,675.0,5.0
186,960.0,951.0,4.0
187,654.0,565.0,4.0
188,433.0,872.0,3.0
189,542.0,259.0,4.0
190,149.0,842.0,4.0
192,898.0,299.0,5.0
