Atom_Index,Y_Position_px,X_Position_px,Defect_Class
0,272.0,462.0,3.0
1,394.0,375.0,3.0
2,417.0,491.0,1.0
3,489.0,115.0,1.0
4,338.0,448.0,6.0
5,176.0,487.0,6.0
6,352.0,440.0,6.0
8,55.0,17.0,6.0
9,196.0,465.0,6.0
11,72.0,293.0,6.0
12,248.0,176.0,5.0
15,496.0,217.0,6.0
16,55.0,163.0,1.0
17,492.0,182.0,1.0
18,38.0,151.0,1.0
19,24.0,337.0,1.0
20,330.0,156.0,1.0
21,488.0,427.0,1.0
22,200.0,449.0,6.0
24,153.0,250.0,6.0
25,43.0,292.0,6.0
26,371.0,237.0,3.0
27,371.0,435.0,1.0
29,350.0,173.0,4.0
30,453.0,61.0,1.0
32,90.0,396.0,6.0
34,15.0,43.0,6.0
36,269.0,65.0,6.0
37,95.0,305.0,6.0
38,375.0,329.0,1.0
39,451.0,444.0,1.0
40,359.0,425.0,6.0
41,104.0,244.0,1.0
42,339.0,322.0,1.0
44,264.0,49.0,6.0
46,260.0,94.0,4.0
47,430.0,451.0,6.0
48,399.0,302.0,1.0
49,484.0,227.0,6.0
50,434.0,330.0,1.0
51,431.0,229.0,6.0
52,366.0,58.0,1.0
53,305.0,482.0,6.0
54,71.0,233.0,1.0
56,275.0,475.0,1.0
57,482.0,127.0,1.0
59,354.0,457.0,6.0
60,447.0,180.0,6.0
62,291.0,495.0,4.0
63,486.0,449.0,1.0
64,410.0,357.0,1.0
67,435.0,133.0,5.0
68,384.0,68.0,1.0
69,96.0,264.0,1.0
70,318.0,456.0,6.0
71,320.0,490.0,4.0
72,495.0,322.0,3.0
73,75.0,402.0,6.0
74,31.0,306.0,3.0
75,28.0,476.0,6.0
76,19.0,125.0,6.0
77,343.0,130.0,1.0
78,286.0,116.0,6.0
80,129.0,260.0,4.0
84,494.0,438.0,3.0
86,14.0,84.0,6.0
87,499.0,302.0,1.0
88,269.0,80.0,6.0
89,371.0,350.0,1.0
91,421.0,296.0,1.0
93,436.0,482.0,1.0
94,404.0,111.0,3.0
95,306.0,446.0,6.0
96,55.0,99.0,6.0
100,32.0,444.0,6.0
101,354.0,474.0,4.0
103,191.0,497.0,6.0
104,104.0,279.0,6.0
105,499.0,57.0,3.0
106,324.0,471.0,6.0
107,44.0,27.0,6.0
108,256.0,496.0,6.0
109,474.0,102.0,3.0
110,43.0,428.0,3.0
111,20.0,392.0,3.0
112,43.0,278.0,6.0
114,335.0,25.0,1.0
115,73.0,277.0,6.0
118,118.0,275.0,6.0
119,319.0,329.0,1.0
120,23.0,171.0,1.0
121,439.0,441.0,1.0
122,68.0,128.0,6.0
123,325.0,308.0,1.0
124,289.0,455.0,5.0
126,91.0,170.0,1.0
127,416.0,458.0,6.0
128,366.0,35.0,1.0
129,399.0,397.0,1.0
130,136.0,245.0,4.0
131,437.0,462.0,6.0
132,384.0,26.0,1.0
133,20.0,190.0,4.0
134,256.0,449.0,6.0
135,43.0,130.0,1.0
136,497.0,396.0,1.0
137,305.0,466.0,6.0
138,396.0,323.0,1.0
139,486.0,170.0,1.0
140,445.0,200.0,6.0
142,35.0,138.0,1.0
143,443.0,423.0,3.0
144,241.0,441.0,3.0
145,425.0,208.0,3.0
146,328.0,385.0,6.0
147,318.0,14.0,6.0
148,193.0,481.0,6.0
149,352.0,14.0,1.0
150,410.0,294.0,1.0
151,402.0,37.0,1.0
152,216.0,170.0,6.0
153,25.0,151.0,1.0
154,32.0,38.0,6.0
155,387.0,81.0,1.0
156,289.0,472.0,4.0
157,27.0,279.0,6.0
158,30.0,260.0,5.0
159,367.0,494.0,6.0
160,494.0,131.0,1.0
161,472.0,245.0,1.0
162,254.0,159.0,6.0
163,351.0,99.0,1.0
166,19.0,359.0,6.0
167,86.0,292.0,1.0
168,405.0,423.0,4.0
169,259.0,464.0,1.0
170,386.0,363.0,1.0
171,387.0,14.0,6.0
172,396.0,66.0,1.0
173,301.0,74.0,6.0
174,52.0,196.0,3.0
175,228.0,494.0,1.0
176,16.0,293.0,4.0
177,337.0,481.0,6.0
178,417.0,175.0,6.0
179,39.0,385.0,6.0
180,492.0,258.0,6.0
181,362.0,47.0,1.0
183,52.0,150.0,1.0
184,352.0,59.0,1.0
185,418.0,138.0,2.0
186,24.0,492.0,3.0
187,19.0,327.0,1.0
188,370.0,70.0,1.0
189,12.0,312.0,1.0
190,340.0,464.0,6.0
191,370.0,90.0,1.0
192,274.0,443.0,5.0
193,475.0,137.0,1.0
195,493.0,343.0,1.0
196,470.0,436.0,1.0
197,473.0,394.0,1.0
198,58.0,287.0,6.0
200,13.0,230.0,3.0
201,67.0,110.0,6.0
202,243.0,105.0,6.0
203,456.0,144.0,6.0
204,473.0,467.0,1.0
205,69.0,337.0,6.0
206,67.0,164.0,1.0
207,390.0,394.0,6.0
208,86.0,414.0,6.0
209,78.0,259.0,6.0
210,56.0,80.0,6.0
211,385.0,140.0,1.0
212,478.0,406.0,3.0
213,456.0,109.0,6.0
214,470.0,157.0,2.0
216,207.0,160.0,3.0
217,223.0,155.0,6.0
219,421.0,327.0,1.0
220,42.0,478.0,4.0
221,352.0,33.0,1.0
222,35.0,339.0,3.0
223,482.0,45.0,4.0
224,441.0,220.0,6.0
225,37.0,119.0,6.0
226,94.0,495.0,6.0
227,355.0,336.0,1.0
228,369.0,110.0,1.0
229,444.0,300.0,1.0
230,45.0,446.0,6.0
231,275.0,263.0,6.0
