Atom_Index,Y_Position_px,X_Position_px,Defect_Class
1,462.0,395.0,5.0
2,483.0,175.0,1.0
3,420.0,36.0,1.0
4,361.0,81.0,1.0
5,333.0,492.0,5.0
6,466.0,112.0,6.0
7,483.0,124.0,1.0
8,290.0,71.0,1.0
9,244.0,63.0,6.0
10,434.0,68.0,1.0
11,428.0,180.0,1.0
12,197.0,417.0,6.0
13,490.0,217.0,1.0
14,488.0,237.0,1.0
15,349.0,191.0,6.0
16,439.0,27.0,1.0
17,415.0,76.0,1.0
18,392.0,125.0,1.0
20,364.0,61.0,1.0
21,468.0,91.0,1.0
22,484.0,155.0,3.0
23,454.0,60.0,1.0
25,446.0,121.0,1.0
26,278.0,208.0,4.0
27,125.0,482.0,1.0
28,306.0,85.0,1.0
29,498.0,310.0,1.0
30,375.0,114.0,1.0
31,380.0,73.0,1.0
32,410.0,117.0,1.0
33,481.0,298.0,1.0
34,105.0,491.0,1.0
36,348.0,28.0,1.0
37,437.0,47.0,1.0
39,449.0,100.0,1.0
41,253.0,402.0,1.0
42,15.0,463.0,6.0
43,478.0,215.0,1.0
44,469.0,127.0,6.0
45,451.0,302.0,4.0
46,384.0,32.0,1.0
49,391.0,430.0,1.0
50,71.0,484.0,1.0
51,372.0,134.0,1.0
52,387.0,166.0,1.0
53,491.0,268.0,3.0
55,187.0,457.0,1.0
56,315.0,139.0,1.0
57,473.0,203.0,1.0
58,198.0,492.0,1.0
60,451.0,234.0,1.0
61,459.0,172.0,1.0
62,35.0,247.0,1.0
63,377.0,93.0,1.0
64,36.0,48.0,1.0
65,242.0,244.0,6.0
66,486.0,408.0,1.0
67,467.0,265.0,1.0
70,412.0,96.0,1.0
71,487.0,83.0,1.0
72,438.0,256.0,6.0
73,443.0,425.0,6.0
74,366.0,40.0,1.0
75,273.0,254.0,1.0
76,328.0,57.0,1.0
77,421.0,402.0,1.0
78,13.0,194.0,1.0
80,17.0,234.0,1.0
81,202.0,471.0,1.0
82,424.0,454.0,3.0
83,299.0,125.0,1.0
84,248.0,15.0,1.0
86,452.0,132.0,3.0
87,403.0,335.0,6.0
88,39.0,145.0,1.0
89,401.0,247.0,4.0
90,459.0,20.0,1.0
91,439.0,486.0,6.0
93,499.0,34.0,1.0
94,166.0,447.0,6.0
95,421.0,495.0,3.0
96,256.0,235.0,6.0
98,404.0,483.0,4.0
101,218.0,483.0,1.0
102,281.0,238.0,2.0
106,452.0,283.0,6.0
108,275.0,236.0,2.0
109,269.0,240.0,6.0
110,387.0,63.0,1.0
111,440.0,445.0,5.0
112,40.0,265.0,6.0
113,370.0,155.0,1.0
114,484.0,429.0,1.0
115,423.0,169.0,1.0
116,429.0,109.0,1.0
117,143.0,472.0,1.0
119,440.0,181.0,1.0
120,347.0,48.0,1.0
121,445.0,404.0,3.0
122,439.0,78.0,1.0
124,134.0,237.0,6.0
125,80.0,456.0,6.0
128,414.0,235.0,3.0
131,403.0,75.0,1.0
132,285.0,192.0,3.0
133,100.0,67.0,6.0
134,268.0,372.0,6.0
136,493.0,370.0,1.0
138,337.0,111.0,1.0
139,386.0,492.0,3.0
140,266.0,98.0,1.0
141,469.0,144.0,4.0
143,272.0,18.0,6.0
