Atom_Index,Y_Position_px,X_Position_px,Defect_Class
0,975.0,745.0,6.0
1,899.0,955.0,1.0
2,964.0,236.0,1.0
3,977.0,547.0,6.0
4,919.0,84.0,6.0
5,562.0,71.0,1.0
6,893.0,736.0,1.0
7,954.0,696.0,3.0
8,926.0,683.0,1.0
9,830.0,927.0,1.0
10,840.0,544.0,6.0
11,690.0,472.0,1.0
12,384.0,359.0,1.0
13,810.0,410.0,1.0
14,876.0,838.0,1.0
15,485.0,432.0,1.0
17,279.0,996.0,6.0
18,188.0,535.0,4.0
19,51.0,103.0,6.0
20,878.0,449.0,6.0
21,652.0,908.0,4.0
22,894.0,586.0,1.0
23,833.0,527.0,4.0
25,917.0,433.0,1.0
26,315.0,394.0,6.0
27,902.0,158.0,1.0
28,931.0,150.0,3.0
29,970.0,620.0,3.0
30,230.0,907.0,1.0
31,736.0,1010.0,3.0
32,811.0,158.0,1.0
33,983.0,969.0,1.0
34,849.0,804.0,3.0
35,927.0,931.0,4.0
36,651.0,409.0,6.0
37,831.0,802.0,3.0
38,737.0,844.0,1.0
39,401.0,854.0,1.0
40,66.0,135.0,1.0
41,258.0,848.0,1.0
42,664.0,12.0,1.0
43,482.0,427.0,6.0
44,939.0,218.0,6.0
45,790.0,710.0,4.0
46,350.0,584.0,3.0
47,746.0,497.0,4.0
48,898.0,189.0,1.0
49,909.0,504.0,1.0
50,785.0,979.0,3.0
51,58.0,546.0,1.0
52,305.0,15.0,1.0
53,187.0,940.0,1.0
55,701.0,1005.0,3.0
56,956.0,27.0,3.0
57,978.0,115.0,1.0
58,849.0,628.0,1.0
59,851.0,208.0,1.0
60,733.0,149.0,1.0
61,929.0,155.0,1.0
62,906.0,524.0,6.0
63,902.0,987.0,1.0
64,655.0,508.0,1.0
65,109.0,396.0,1.0
66,821.0,650.0,1.0
67,794.0,477.0,3.0
68,537.0,449.0,6.0
69,476.0,437.0,1.0
70,640.0,896.0,3.0
71,1011.0,304.0,1.0
72,982.0,482.0,1.0
73,836.0,839.0,3.0
75,399.0,989.0,6.0
76,970.0,428.0,6.0
77,898.0,51.0,3.0
78,825.0,854.0,3.0
79,925.0,953.0,6.0
80,85.0,544.0,1.0
81,892.0,991.0,1.0
82,395.0,345.0,3.0
83,241.0,946.0,6.0
84,320.0,368.0,1.0
85,868.0,962.0,1.0
86,866.0,474.0,1.0
87,1009.0,184.0,6.0
88,836.0,429.0,6.0
89,148.0,395.0,3.0
91,328.0,359.0,1.0
92,769.0,303.0,1.0
93,881.0,289.0,3.0
94,170.0,595.0,1.0
95,456.0,859.0,1.0
96,970.0,24.0,1.0
97,834.0,860.0,3.0
98,820.0,738.0,1.0
99,299.0,370.0,1.0
100,395.0,320.0,1.0
101,1007.0,587.0,1.0
102,988.0,342.0,1.0
103,787.0,704.0,1.0
105,940.0,486.0,6.0
106,733.0,479.0,1.0
107,393.0,366.0,1.0
108,40.0,270.0,1.0
109,672.0,442.0,1.0
110,858.0,721.0,1.0
111,680.0,196.0,1.0
112,720.0,82.0,1.0
113,608.0,188.0,3.0
114,944.0,16.0,1.0
115,358.0,413.0,1.0
116,673.0,843.0,1.0
117,69.0,979.0,3.0
118,614.0,478.0,1.0
119,868.0,972.0,4.0
120,662.0,31.0,1.0
121,731.0,386.0,1.0
122,734.0,698.0,1.0
123,385.0,334.0,3.0
124,745.0,684.0,1.0
125,635.0,526.0,3.0
126,1009.0,593.0,1.0
127,746.0,928.0,6.0
129,937.0,902.0,4.0
130,745.0,699.0,1.0
131,227.0,322.0,1.0
132,697.0,409.0,1.0
133,417.0,720.0,1.0
134,804.0,804.0,1.0
135,735.0,304.0,6.0
136,684.0,906.0,1.0
137,390.0,293.0,1.0
138,919.0,735.0,1.0
139,988.0,198.0,1.0
140,877.0,663.0,6.0
141,990.0,332.0,1.0
142,836.0,16.0,3.0
143,992.0,235.0,1.0
144,930.0,135.0,6.0
145,756.0,95.0,1.0
146,676.0,900.0,1.0
147,967.0,216.0,1.0
148,1003.0,374.0,6.0
149,983.0,238.0,1.0
150,955.0,738.0,6.0
151,664.0,22.0,1.0
152,766.0,732.0,1.0
153,950.0,41.0,1.0
154,841.0,446.0,6.0
155,126.0,507.0,6.0
156,926.0,760.0,1.0
157,54.0,1009.0,6.0
158,885.0,389.0,1.0
159,800.0,835.0,1.0
160,635.0,33.0,1.0
