Atom_Index,Y_Position_px,X_Position_px,Defect_Class
2,47.0,41.0,6.0
3,492.0,116.0,6.0
4,57.0,15.0,6.0
5,152.0,212.0,6.0
6,48.0,335.0,6.0
7,422.0,488.0,3.0
8,398.0,372.0,1.0
9,399.0,259.0,5.0
10,14.0,43.0,6.0
11,489.0,426.0,1.0
12,450.0,96.0,6.0
15,422.0,293.0,1.0
17,325.0,141.0,6.0
18,329.0,56.0,1.0
22,380.0,256.0,6.0
24,283.0,22.0,6.0
25,365.0,120.0,1.0
26,329.0,76.0,1.0
28,475.0,393.0,1.0
30,422.0,173.0,6.0
31,42.0,55.0,6.0
32,29.0,443.0,4.0
35,17.0,220.0,1.0
38,59.0,345.0,6.0
39,487.0,448.0,1.0
40,18.0,76.0,6.0
41,462.0,87.0,6.0
42,458.0,109.0,6.0
43,45.0,352.0,6.0
44,401.0,300.0,1.0
45,305.0,149.0,6.0
46,484.0,470.0,6.0
47,43.0,389.0,6.0
48,92.0,189.0,6.0
49,14.0,432.0,4.0
52,444.0,421.0,5.0
53,335.0,25.0,3.0
54,385.0,67.0,1.0
55,397.0,320.0,1.0
58,18.0,59.0,6.0
59,42.0,24.0,6.0
60,277.0,37.0,6.0
61,392.0,361.0,1.0
62,424.0,225.0,2.0
64,44.0,318.0,6.0
65,427.0,272.0,1.0
67,309.0,86.0,1.0
68,476.0,499.0,6.0
69,350.0,45.0,1.0
70,428.0,205.0,5.0
71,31.0,360.0,6.0
73,13.0,292.0,3.0
75,451.0,77.0,6.0
77,367.0,57.0,1.0
78,435.0,327.0,1.0
79,179.0,197.0,6.0
80,433.0,85.0,6.0
81,491.0,300.0,6.0
83,374.0,347.0,1.0
84,460.0,412.0,4.0
85,58.0,403.0,6.0
86,19.0,392.0,3.0
87,371.0,89.0,1.0
88,436.0,99.0,1.0
90,21.0,335.0,1.0
91,360.0,179.0,6.0
94,445.0,404.0,5.0
95,16.0,412.0,4.0
96,433.0,186.0,2.0
97,448.0,199.0,6.0
98,390.0,120.0,1.0
99,336.0,107.0,6.0
100,14.0,262.0,1.0
101,258.0,138.0,6.0
102,317.0,164.0,6.0
103,474.0,122.0,6.0
104,53.0,486.0,4.0
105,62.0,293.0,1.0
106,22.0,137.0,1.0
107,493.0,258.0,6.0
108,62.0,324.0,6.0
110,276.0,134.0,6.0
111,355.0,77.0,1.0
112,63.0,308.0,2.0
115,137.0,210.0,6.0
116,367.0,201.0,3.0
117,58.0,307.0,2.0
118,23.0,474.0,1.0
119,238.0,468.0,6.0
120,45.0,405.0,6.0
121,429.0,226.0,2.0
122,376.0,327.0,1.0
123,193.0,199.0,6.0
124,499.0,396.0,6.0
125,29.0,222.0,4.0
126,466.0,194.0,5.0
