Atom_Index,Y_Position_px,X_Position_px,Defect_Class
0,658.0,24.0,3.0
1,838.0,420.0,3.0
2,317.0,170.0,6.0
3,953.0,175.0,1.0
4,840.0,137.0,1.0
5,988.0,364.0,1.0
6,249.0,912.0,1.0
7,286.0,216.0,1.0
8,497.0,85.0,3.0
9,492.0,886.0,4.0
10,726.0,34.0,6.0
11,126.0,851.0,3.0
12,953.0,463.0,1.0
13,257.0,636.0,3.0
14,686.0,778.0,3.0
15,932.0,230.0,6.0
16,321.0,170.0,6.0
17,952.0,134.0,6.0
18,318.0,597.0,3.0
19,187.0,567.0,1.0
20,890.0,540.0,4.0
21,100.0,677.0,3.0
22,700.0,878.0,3.0
23,468.0,69.0,2.0
24,909.0,124.0,6.0
25,963.0,678.0,1.0
26,45.0,109.0,1.0
27,648.0,679.0,6.0
28,917.0,197.0,1.0
29,719.0,890.0,6.0
30,601.0,133.0,3.0
31,938.0,354.0,6.0
32,573.0,878.0,6.0
33,204.0,964.0,6.0
34,862.0,360.0,3.0
35,791.0,167.0,6.0
36,321.0,576.0,1.0
37,149.0,714.0,4.0
38,970.0,642.0,3.0
39,868.0,553.0,1.0
40,625.0,641.0,6.0
41,992.0,743.0,3.0
42,280.0,675.0,1.0
43,562.0,134.0,1.0
44,204.0,632.0,1.0
45,977.0,40.0,1.0
46,598.0,137.0,3.0
47,533.0,942.0,4.0
48,963.0,538.0,6.0
49,997.0,272.0,6.0
50,917.0,19.0,1.0
51,236.0,599.0,1.0
52,255.0,580.0,6.0
53,962.0,1009.0,6.0
54,978.0,280.0,6.0
55,277.0,122.0,6.0
56,922.0,636.0,1.0
57,248.0,641.0,1.0
58,456.0,208.0,1.0
59,499.0,814.0,1.0
60,1002.0,144.0,1.0
61,662.0,293.0,1.0
62,1013.0,59.0,1.0
63,1012.0,968.0,1.0
64,202.0,94.0,4.0
65,252.0,943.0,3.0
66,361.0,425.0,6.0
67,427.0,640.0,1.0
68,237.0,745.0,6.0
69,754.0,447.0,1.0
70,901.0,97.0,2.0
71,146.0,423.0,3.0
72,814.0,217.0,4.0
73,846.0,87.0,1.0
74,670.0,309.0,3.0
76,300.0,207.0,1.0
77,274.0,241.0,4.0
78,258.0,626.0,1.0
79,17.0,120.0,5.0
80,211.0,647.0,1.0
81,293.0,155.0,3.0
82,984.0,971.0,1.0
83,259.0,461.0,1.0
84,599.0,720.0,1.0
85,690.0,291.0,3.0
86,98.0,646.0,3.0
87,163.0,679.0,3.0
88,984.0,737.0,4.0
89,899.0,344.0,2.0
90,334.0,427.0,3.0
91,842.0,379.0,1.0
92,937.0,669.0,1.0
93,578.0,598.0,3.0
94,811.0,237.0,1.0
95,874.0,24.0,1.0
96,818.0,351.0,1.0
97,881.0,290.0,3.0
98,946.0,499.0,1.0
99,931.0,554.0,1.0
100,701.0,353.0,1.0
101,496.0,172.0,1.0
