Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,309.00,175.00,25.5539,39.1152,39.8121,34.8270,272.09,153.05,84.70,0.5643
1,619.00,420.00,33.2866,34.0147,37.2156,34.8390,272.18,171.57,63.43,0.5296
2,869.00,161.00,28.6531,29.0689,33.2415,30.3212,236.88,168.43,73.03,0.5630
3,613.00,632.00,23.1948,25.6320,38.4708,29.0992,227.34,117.99,91.54,0.5415
4,937.00,124.00,23.0000,33.1210,33.5261,29.8824,233.46,151.11,72.65,0.5422
5,575.00,799.00,22.4722,29.1548,35.8469,29.1580,227.80,116.37,80.71,0.5325
6,647.00,438.00,23.3452,33.2866,37.2156,31.2825,244.39,157.13,93.70,0.5243
7,85.00,301.00,21.9545,24.2074,25.4951,23.8857,186.61,111.64,131.38,0.5748
8,85.00,16.00,21.2603,23.0868,38.0000,27.4490,214.45,136.16,41.19,0.5360
9,260.00,993.00,25.6320,26.4764,28.0179,26.7088,208.66,148.56,108.51,0.4858
10,369.00,638.00,35.0143,35.1141,37.7359,35.9548,280.90,71.65,120.37,0.5364
11,546.00,315.00,21.1896,28.0713,37.4433,28.9014,225.79,113.38,104.82,0.5329
12,359.00,957.00,23.3238,26.1725,29.4109,26.3024,205.49,127.55,131.22,0.5108
13,109.00,435.00,23.7065,26.0768,35.2278,28.3371,221.38,113.25,158.87,0.5381
14,34.00,182.00,31.7648,32.3110,32.9848,32.3535,252.76,40.02,104.14,0.5181
15,409.00,588.00,24.1661,24.6982,33.5261,27.4635,214.56,93.07,41.80,0.5612
16,530.00,599.00,26.0768,27.5862,27.5862,27.0831,211.59,78.94,101.06,0.4898
17,234.00,595.00,24.5153,26.9258,28.4429,26.6280,208.03,100.03,178.36,0.5119
18,907.00,439.00,23.1948,28.0179,39.2046,30.1391,235.46,117.39,91.58,0.5045
19,266.00,417.00,23.7697,26.1725,26.8328,25.5917,199.94,118.83,131.19,0.5568
20,814.00,9.00,24.0832,24.5153,34.1321,27.5769,215.44,119.87,53.41,0.5361
21,121.00,116.00,25.2389,25.9615,27.0185,26.0730,203.70,161.95,125.81,0.4990
22,490.00,444.00,25.4951,25.9615,26.6833,26.0466,203.49,94.33,178.32,0.4520
23,272.00,478.00,24.1661,24.1868,25.1794,24.5107,191.49,125.81,121.29,0.5093
24,739.00,704.00,22.5610,23.0217,28.0179,24.5335,191.67,111.58,137.63,0.4658
25,922.00,691.00,22.4722,24.0208,25.4951,23.9960,187.47,119.89,122.16,0.4857
26,9.00,457.00,32.8024,37.4433,41.0488,37.0982,289.83,71.68,55.22,0.5466
27,79.00,239.00,23.0868,23.2594,25.6125,23.9862,187.39,120.43,123.69,0.4892
28,995.00,652.00,23.0217,24.6982,25.2389,24.3196,190.00,124.25,121.20,0.4861
29,525.00,642.00,25.4951,27.4591,28.3019,27.0854,211.60,81.29,99.81,0.4679
30,305.00,550.00,27.1662,27.6586,28.1603,27.6617,216.11,108.87,100.16,0.4929
31,743.00,404.00,25.0799,25.3180,25.9615,25.4531,198.85,175.48,101.07,0.4555
32,316.00,238.00,24.0832,24.1661,26.4008,24.8833,194.40,119.21,122.54,0.4673
33,40.00,436.00,24.0832,33.4215,34.4819,30.6622,239.55,136.31,114.78,0.4868
34,738.00,788.00,23.0217,23.3238,23.8537,23.3998,182.81,123.45,120.53,0.4613
35,522.00,682.00,24.6982,24.7588,28.0179,25.8250,201.76,168.40,86.93,0.4526
36,813.00,704.00,24.0000,24.6982,25.0599,24.5860,192.08,121.76,118.61,0.4481
37,505.00,191.00,23.0868,24.4131,24.5967,24.0322,187.75,120.02,121.53,0.4339
38,278.00,393.00,25.5539,26.4764,26.8328,26.2877,205.37,109.69,175.99,0.4869
39,812.00,745.00,23.0217,25.0000,25.5539,24.5252,191.60,124.38,115.04,0.4545
40,3.00,126.00,26.0192,39.4588,44.9444,36.8075,287.56,83.46,23.06,0.5135
41,884.00,710.00,23.7697,24.4131,26.4197,24.8675,194.28,110.37,134.10,0.4677
42,308.00,502.00,23.7065,23.7065,24.0000,23.8044,185.97,124.71,117.65,0.4796
43,615.00,177.00,23.8537,25.0799,26.8328,25.2555,197.31,127.60,120.41,0.4246
44,77.00,417.00,21.4009,36.7151,38.0000,32.0387,250.30,98.05,142.59,0.4678
45,23.00,871.00,32.7567,36.8917,37.0135,35.5540,277.77,159.51,166.11,0.4396
46,738.00,746.00,22.0907,25.4951,25.5539,24.3799,190.47,137.01,115.38,0.4533
47,886.00,667.00,22.2036,23.3238,25.9422,23.8232,186.12,113.20,125.32,0.4581
48,849.00,728.00,23.3238,24.0832,26.8328,24.7466,193.33,125.73,122.47,0.4602
49,342.00,524.00,21.5870,24.1661,25.0799,23.6110,184.46,101.05,126.89,0.5234
50,991.00,736.00,23.0217,25.0000,27.4591,25.1603,196.56,124.38,125.60,0.4563
51,236.00,505.00,24.7386,25.0799,26.5707,25.4631,198.93,170.54,95.76,0.4491
52,182.00,21.00,23.0217,24.0208,37.6962,28.2462,220.67,126.77,77.42,0.4310
