Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,355.00,146.00,12.0416,12.0416,13.0000,12.3611,193.14,126.87,117.38,4.7353
1,301.00,149.00,11.1803,11.4018,13.1529,11.9117,186.12,115.56,125.31,5.9260
2,316.00,337.00,11.7047,12.1655,12.2066,12.0256,187.90,119.45,125.02,4.8670
3,101.00,6.00,11.4018,13.0384,18.2483,14.2295,222.34,123.48,137.34,4.4296
4,389.00,170.00,11.4018,12.0416,13.0000,12.1478,189.81,123.11,119.51,4.9398
5,486.00,263.00,10.8167,12.0416,12.0830,11.6471,181.99,118.93,121.87,4.6336
6,96.00,46.00,11.3137,12.0000,12.0830,11.7989,184.36,135.00,110.56,4.7392
7,163.00,93.00,11.6619,11.7047,12.0416,11.8027,184.42,129.05,116.20,4.7591
8,369.00,178.00,11.4018,13.0000,13.0384,12.4801,195.00,119.51,123.48,4.8021
9,288.00,376.00,12.0416,12.0830,13.0384,12.3877,193.56,119.21,117.71,4.2127
10,356.00,249.00,11.1803,12.1655,12.2066,11.8508,185.17,126.03,118.44,4.3051
11,77.00,4.00,10.7703,13.0000,19.2354,14.3352,223.99,111.80,30.77,3.8727
12,275.00,167.00,11.7047,12.2066,13.0384,12.3166,192.45,125.02,114.38,5.5616
13,420.00,162.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,4.4742
14,375.00,240.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,4.1284
15,137.00,111.00,11.0454,12.0416,12.5300,11.8723,185.50,126.44,123.80,4.4148
16,408.00,265.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,4.0277
17,269.00,54.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,3.8234
18,299.00,118.00,11.4018,13.0000,13.0384,12.4801,195.00,119.51,123.48,4.5934
19,99.00,128.00,12.0416,12.0830,12.1655,12.0967,189.01,113.92,122.17,5.1327
20,417.00,183.00,11.0454,12.5300,12.8062,12.1272,189.49,123.80,123.47,4.4780
21,267.00,75.00,12.0830,12.1655,12.2066,12.1517,189.87,123.91,120.56,3.7889
22,398.00,191.00,12.0416,12.0416,12.0830,12.0554,188.37,126.87,119.21,4.5732
23,376.00,65.00,11.4018,12.0416,13.0000,12.1478,189.81,123.11,119.51,4.0866
24,504.00,203.00,11.7047,12.0416,19.6977,14.4813,226.27,114.75,86.02,4.2628
25,303.00,78.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,4.1715
26,394.00,387.00,12.0416,12.0830,12.8062,12.3103,192.35,119.21,123.90,3.9151
27,403.00,150.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,4.4247
28,301.00,98.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,4.1869
29,334.00,123.00,11.7047,12.1655,12.2066,12.0256,187.90,119.45,125.02,4.2111
30,281.00,107.00,11.1803,11.1803,12.8062,11.7223,183.16,126.87,118.35,4.2977
31,293.00,335.00,11.7047,12.0416,12.2066,11.9843,187.25,114.75,125.02,4.1631
32,429.00,236.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,4.1002
33,180.00,105.00,12.0830,12.2066,13.0384,12.4427,194.42,120.56,118.84,5.0564
34,482.00,407.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,3.9119
35,273.00,188.00,11.6619,12.0416,12.0830,11.9288,186.39,116.20,124.59,4.7161
36,33.00,81.00,11.1803,12.1655,13.0384,12.1281,189.50,126.03,120.96,4.0230
37,139.00,90.00,12.0416,12.0416,13.4164,12.4999,195.31,126.87,121.33,4.3085
38,53.00,52.00,11.1803,12.1655,12.8062,12.0507,188.29,126.03,114.78,4.1442
39,167.00,4.00,10.2956,12.0000,18.2483,13.5146,211.17,119.05,38.52,3.3881
40,135.00,132.00,11.1803,12.1655,12.8062,12.0507,188.29,126.03,114.78,4.4294
41,231.00,400.00,12.0416,12.1655,12.5300,12.2457,191.34,122.17,109.76,3.8303
42,95.00,169.00,12.0830,12.2066,13.3417,12.5438,196.00,120.56,127.44,4.3446
43,324.00,380.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,3.9080
44,257.00,4.00,10.8167,13.0384,18.8680,14.2410,222.52,128.09,24.30,3.5007
45,345.00,351.00,12.0416,12.0830,12.8062,12.3103,192.35,119.21,123.90,3.9835
46,463.00,261.00,12.0830,12.1655,12.2066,12.1517,189.87,123.91,120.56,3.9350
47,502.00,399.00,11.6619,11.7047,13.0384,12.1350,189.61,129.05,116.57,3.7128
48,324.00,49.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,3.6671
49,240.00,163.00,12.0416,12.2066,12.6491,12.2991,192.17,120.23,113.20,4.2724
50,384.00,158.00,11.4018,12.0416,13.0000,12.1478,189.81,123.11,119.51,4.4234
51,468.00,375.00,11.7047,12.2066,13.0384,12.3166,192.45,125.02,114.38,3.6784
52,80.00,136.00,12.0416,12.2066,13.0000,12.4161,194.00,120.23,117.38,4.8928
53,338.00,82.00,11.0454,12.0416,12.0830,11.7233,183.18,126.44,119.64,4.0718
54,147.00,11.00,10.6301,11.6619,12.0416,11.4445,178.82,100.22,134.05,3.8724
55,196.00,66.00,12.0830,12.1655,12.2066,12.1517,189.87,123.91,120.56,4.4797
56,450.00,54.00,11.1803,12.0416,12.8062,12.0094,187.65,121.33,114.78,3.8242
57,278.00,302.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,4.2242
58,196.00,396.00,12.0830,12.2066,13.0384,12.4427,194.42,120.56,118.84,3.9019
59,30.00,275.00,11.4018,12.0830,12.1655,11.8834,185.68,117.68,118.41,4.0488
60,249.00,237.00,12.0416,12.0830,12.8062,12.3103,192.35,119.21,123.90,4.0911
61,316.00,285.00,12.0416,12.0416,13.0000,12.3611,193.14,126.87,117.38,4.1131
62,407.00,110.00,12.1655,12.5300,12.8062,12.5006,195.32,128.07,119.20,3.7879
63,317.00,441.00,12.0830,12.1655,12.2066,12.1517,189.87,123.91,120.56,3.9098
64,355.00,94.00,12.0416,12.2066,12.6491,12.2991,192.17,120.23,113.20,3.8895
65,271.00,34.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,3.7273
66,292.00,179.00,11.4018,12.0830,13.0384,12.1744,190.23,117.68,123.48,4.9669
67,8.00,304.00,12.5300,12.8062,20.8087,15.3816,240.34,112.73,26.17,4.1553
68,6.00,325.00,12.5300,12.8062,19.0263,14.7875,231.05,112.73,31.62,3.9696
69,323.00,224.00,12.2066,13.0000,13.3417,12.8494,200.77,122.39,112.00,4.1166
70,432.00,215.00,11.6619,11.7047,12.0416,11.8027,184.42,129.05,116.20,4.1111
71,114.00,160.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,4.2841
72,101.00,107.00,12.0416,12.1655,13.4164,12.5412,195.96,122.17,111.80,4.3908
73,89.00,230.00,11.6619,12.0416,12.0830,11.9288,186.39,116.20,124.59,4.1297
74,257.00,331.00,12.0416,12.2066,13.0000,12.4161,194.00,120.23,117.38,4.1029
75,436.00,22.00,11.4018,12.0830,13.0384,12.1744,190.23,117.68,123.48,3.9014
76,364.00,343.00,11.1803,12.0830,12.8062,12.0232,187.86,124.75,118.35,3.8776
77,35.00,60.00,11.1803,11.6619,13.1529,11.9984,187.47,122.47,125.31,4.0630
78,419.00,318.00,11.0000,12.5300,12.8062,12.1121,189.25,118.61,128.66,3.7785
79,318.00,265.00,11.0454,12.5300,12.8062,12.1272,189.49,123.80,123.47,4.0384
80,51.00,247.00,12.0830,12.1655,13.6015,12.6167,197.14,123.91,119.53,4.0770
81,277.00,477.00,11.4018,12.0416,13.0000,12.1478,189.81,123.11,119.51,3.8528
82,442.00,445.00,12.1655,12.2066,12.5300,12.3007,192.20,115.53,128.07,3.6403
83,451.00,362.00,12.0416,12.0416,12.6491,12.2441,191.31,126.87,119.93,3.6018
84,473.00,490.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,3.7461
85,309.00,347.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,4.0585
86,235.00,31.00,11.6619,12.1655,12.2066,12.0113,187.68,130.43,114.04,3.6441
87,479.00,428.00,11.0454,12.5300,12.8062,12.1272,189.49,123.80,123.47,3.8695
88,290.00,201.00,11.1803,12.1655,13.0384,12.1281,189.50,126.03,120.96,4.2674
89,331.00,474.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,3.5456
90,15.00,68.00,10.0499,12.2066,12.5300,11.5955,181.18,119.28,124.32,4.1213
91,201.00,7.00,8.9443,12.0830,12.1655,11.0643,172.88,92.12,143.97,3.4536
92,133.00,152.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,4.2742
93,304.00,232.00,12.0830,12.5300,13.0384,12.5505,196.10,126.95,118.84,4.0361
94,274.00,344.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,3.9408
95,499.00,420.00,12.0830,12.1655,12.2066,12.1517,189.87,123.91,120.56,3.8139
96,255.00,23.00,10.7703,12.8062,13.1529,12.2432,191.30,119.54,120.55,3.6792
97,402.00,482.00,12.0830,12.1655,12.2066,12.1517,189.87,123.91,120.56,3.6974
98,341.00,62.00,12.0830,12.1655,13.0384,12.4290,194.20,123.91,123.08,4.0709
99,106.00,294.00,11.4018,12.0830,20.0000,14.4949,226.48,117.68,91.01,4.3260
100,170.00,311.00,12.2066,13.0000,13.1529,12.7865,199.79,122.39,116.25,4.0589
101,127.00,38.00,10.8167,12.0830,13.0384,11.9794,187.18,121.87,119.29,3.9099
102,30.00,100.00,12.0416,12.0416,12.0830,12.0554,188.37,126.87,113.92,3.9666
103,484.00,387.00,12.0416,12.0830,13.4536,12.5261,195.72,119.21,127.22,3.5870
104,328.00,339.00,12.0830,12.1655,13.6015,12.6167,197.14,123.91,119.53,4.1219
105,302.00,253.00,12.0830,12.2066,13.1529,12.4808,195.01,120.56,123.19,3.9803
106,439.00,310.00,12.0830,12.1655,13.0384,12.4290,194.20,123.91,123.08,3.7004
107,373.00,416.00,11.0454,12.2066,12.6491,11.9670,186.98,119.80,113.63,3.7121
108,292.00,6.00,8.5440,12.0000,13.4164,11.3201,176.88,159.44,83.99,3.4254
109,44.00,308.00,12.0416,12.2066,12.5300,12.2594,191.55,120.23,123.37,4.1418
110,415.00,203.00,12.0416,12.0416,12.0830,12.0554,188.37,126.87,113.92,4.2027
111,188.00,148.00,11.7047,12.0416,13.1529,12.2997,192.18,118.38,118.73,4.0516
112,106.00,242.00,11.4018,12.0416,13.0000,12.1478,189.81,123.11,119.51,4.0547
113,40.00,173.00,11.0454,12.0830,12.8062,11.9782,187.16,119.64,123.47,4.1201
114,49.00,267.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,4.0556
115,137.00,287.00,11.1803,12.1655,12.2066,11.8508,185.17,126.03,118.44,3.6269
116,146.00,30.00,11.4018,12.0830,13.0384,12.1744,190.23,117.68,123.48,3.7896
117,194.00,416.00,11.4018,12.0830,13.0384,12.1744,190.23,117.68,123.48,3.7521
118,400.00,502.00,11.4018,13.0384,20.0998,14.8466,231.98,123.48,32.16,3.6638
119,116.00,140.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,4.2692
120,247.00,103.00,10.7703,12.1655,12.2066,11.7141,183.03,121.26,123.21,4.9990
121,163.00,42.00,11.4018,11.7047,12.0416,11.7160,183.06,122.14,123.11,3.7458
122,212.00,98.00,10.8167,13.0000,13.0384,12.2850,191.95,123.69,119.29,6.3551
123,282.00,261.00,12.1655,12.2066,12.5300,12.3007,192.20,115.53,128.07,3.8549
124,38.00,20.00,11.0454,12.0416,12.5300,11.8723,185.50,126.44,123.80,3.7099
125,36.00,214.00,12.0416,12.0830,12.1655,12.0967,189.01,113.92,122.17,3.8138
126,64.00,299.00,11.4018,13.0000,13.0384,12.4801,195.00,119.51,123.48,3.9593
127,105.00,67.00,12.0416,12.5300,12.8062,12.4593,194.68,123.37,123.90,4.0787
128,492.00,482.00,12.0830,12.1655,12.2066,12.1517,189.87,123.91,120.56,3.7301
129,457.00,300.00,11.0454,12.0416,13.4164,12.1678,190.12,126.44,121.76,3.7674
130,490.00,170.00,11.0454,12.0830,12.2066,11.7783,184.04,119.64,119.80,3.9444
131,347.00,330.00,11.1803,12.0416,12.5300,11.9173,186.21,121.33,128.92,3.8408
132,57.00,360.00,12.0416,12.0416,12.5300,12.2044,190.69,126.87,109.76,3.7843
133,437.00,175.00,11.6619,11.7047,12.1655,11.8440,185.06,129.05,111.50,4.1635
134,72.00,218.00,12.0830,12.1655,12.8062,12.3516,192.99,123.91,116.90,4.0710
135,371.00,281.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,3.8973
136,112.00,181.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,4.1468
137,477.00,292.00,11.4018,12.0416,13.0000,12.1478,189.81,123.11,119.51,3.6292
138,382.00,6.00,8.5440,12.0416,12.5300,11.0385,172.48,154.68,81.95,3.6165
139,169.00,156.00,11.6619,12.0416,12.0830,11.9288,186.39,116.20,124.59,4.0065
140,45.00,133.00,11.1803,12.1655,12.2066,11.8508,185.17,126.03,118.44,4.0400
141,96.00,149.00,11.0454,11.6619,12.8062,11.8378,184.97,126.16,123.47,4.3590
142,57.00,185.00,12.0416,12.2066,12.5300,12.2594,191.55,120.23,123.37,4.3185
143,244.00,453.00,12.0830,12.2066,13.0384,12.4427,194.42,120.56,118.84,3.5784
144,366.00,478.00,12.0830,12.1655,13.0384,12.4290,194.20,123.91,123.08,3.5549
