Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,411.00,537.00,11.1803,11.4018,14.4222,12.3348,192.73,138.18,113.39,0.5377
1,553.00,321.00,12.5300,17.4929,18.3576,16.1268,251.98,149.57,89.25,0.5079
2,154.00,12.00,9.4340,15.2971,18.0278,14.2529,222.70,133.32,141.45,0.5388
3,788.00,262.00,15.2315,18.0278,18.1108,17.1234,267.55,110.02,73.14,0.5043
4,562.00,495.00,12.0416,12.2066,14.3178,12.8553,200.86,120.23,119.54,0.5113
5,568.00,330.00,12.0830,12.3693,17.4929,13.9817,218.46,100.41,96.52,0.4683
6,1002.00,249.00,10.2956,11.0454,15.6525,12.3312,192.67,113.86,124.38,0.5085
7,1006.00,131.00,11.1803,12.1655,20.0998,14.4819,226.28,107.10,32.28,0.5283
8,458.00,407.00,12.8062,13.3417,13.9284,13.3588,208.73,115.67,120.30,0.5343
9,389.00,363.00,11.0454,12.5300,13.6015,12.3923,193.63,123.80,120.83,0.5238
10,450.00,437.00,12.0416,12.1655,13.4164,12.5412,195.96,141.10,111.80,0.4830
11,660.00,569.00,10.8167,12.0000,14.3178,12.3782,193.41,123.69,121.53,0.4390
12,684.00,551.00,11.0454,12.5300,19.0000,14.1918,221.75,123.80,84.81,0.4495
13,804.00,327.00,12.0830,14.0357,19.4165,15.1784,237.16,118.53,31.05,0.4393
14,858.00,186.00,11.0000,13.0384,13.6015,12.5466,196.04,122.47,126.03,0.4709
15,1008.00,111.00,12.2066,13.0000,18.3576,14.5214,226.90,122.39,174.37,0.4622
16,806.00,511.00,10.6301,12.0000,12.0830,11.5711,180.80,131.19,114.37,0.4456
17,715.00,521.00,12.0416,13.0384,19.7231,14.9344,233.35,117.71,154.30,0.4337
18,501.00,493.00,10.0499,11.4018,13.8924,11.7814,184.08,110.97,114.55,0.4404
19,719.00,258.00,11.6619,12.5300,18.3576,14.1831,221.61,87.65,150.32,0.4613
20,350.00,1017.00,11.0454,12.0416,20.2485,14.4451,225.71,136.83,38.10,0.4394
21,449.00,458.00,11.4018,12.1655,12.2066,11.9246,186.32,118.41,107.13,0.5001
22,704.00,500.00,11.4018,12.6491,14.0357,12.6955,198.37,123.69,123.79,0.4709
23,965.00,641.00,12.0416,14.7648,19.1050,15.3038,239.12,113.54,88.75,0.5359
24,897.00,995.00,11.4018,19.0000,20.1246,16.8421,263.16,37.87,154.44,0.4064
25,133.00,890.00,13.6015,15.2643,17.4929,15.4529,241.45,94.42,174.94,0.4716
26,692.00,296.00,11.6619,12.0416,13.4164,12.3733,193.33,116.20,122.47,0.4262
27,172.00,61.00,9.8489,12.0830,14.0000,11.9773,187.15,131.59,113.96,0.4962
28,722.00,400.00,11.4018,14.3178,20.2485,15.3227,239.42,117.35,85.03,0.4267
29,561.00,383.00,11.4018,13.8924,15.0333,13.4425,210.04,111.87,131.69,0.4612
30,691.00,431.00,12.5300,19.0263,20.0000,17.1854,268.52,148.38,24.52,0.4454
31,382.00,547.00,10.8167,11.0454,13.0384,11.6335,181.77,128.88,113.84,0.4818
32,187.00,109.00,12.1655,13.0000,17.0294,14.0650,219.77,103.16,96.10,0.4714
33,193.00,612.00,10.1980,12.2066,13.0384,11.8143,184.60,136.30,111.16,0.4291
34,477.00,714.00,11.4018,12.6491,19.1050,14.3853,224.77,123.69,31.87,0.4915
35,1001.00,289.00,11.4018,11.4018,19.0000,13.9345,217.73,104.25,37.87,0.5228
36,412.00,497.00,11.1803,12.0416,13.0000,12.0740,188.66,111.80,130.82,0.4790
37,749.00,340.00,9.4340,12.8062,17.0880,13.1094,204.83,160.67,52.56,0.4341
38,760.00,359.00,11.6619,12.0416,13.9284,12.5440,196.00,116.20,128.00,0.4116
39,235.00,805.00,11.6619,12.0416,12.5300,12.0778,188.72,125.73,120.43,0.4451
