Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,18.00,340.00,11.0000,19.3132,21.0238,17.1123,267.38,21.25,92.73,0.4838
1,992.00,368.00,9.4340,13.0000,19.1050,13.8463,216.35,122.01,38.01,0.5332
2,567.00,481.00,12.0416,12.0416,16.1245,13.4026,209.42,133.60,124.51,0.5422
3,520.00,345.00,11.1803,11.1803,11.6619,11.3409,177.20,106.26,131.27,0.5111
4,381.00,590.00,12.5300,19.2354,19.4165,17.0606,266.57,90.71,26.88,0.4318
5,952.00,223.00,12.0000,12.5300,20.1246,14.8849,232.58,118.61,153.43,0.4356
6,154.00,112.00,13.4164,19.6977,19.7231,17.6124,275.19,140.53,93.90,0.4459
7,86.00,49.00,10.0499,11.3137,12.8062,11.3899,177.97,140.71,122.95,0.4818
8,895.00,646.00,9.4340,17.0880,17.1172,14.5464,227.29,78.55,141.28,0.4937
9,21.00,639.00,11.6619,11.6619,18.3848,13.9029,217.23,118.07,36.66,0.4704
10,193.00,317.00,11.1803,12.5300,12.5300,12.0801,188.75,108.31,128.92,0.4470
11,815.00,390.00,13.0384,14.0000,19.6977,15.5787,243.42,122.47,33.57,0.4345
12,100.00,855.00,11.0454,12.0416,13.0384,12.0418,188.15,126.44,127.67,0.4454
13,75.00,649.00,12.2066,13.1529,18.0278,14.4624,225.98,116.25,31.81,0.4399
14,414.00,614.00,9.4340,10.7703,17.0880,12.4308,194.23,169.80,52.56,0.4776
15,575.00,315.00,19.0263,19.2354,20.5913,19.6176,306.53,59.09,122.07,0.5594
16,825.00,227.00,13.0000,18.4391,21.0238,17.4876,273.24,139.40,92.73,0.4778
17,612.00,928.00,10.7703,12.0830,12.1655,11.6730,182.39,133.75,121.26,0.5159
18,489.00,820.00,11.1803,13.0000,19.7231,14.6345,228.66,116.57,32.97,0.4127
19,50.00,290.00,11.4018,11.4018,12.0000,11.6012,181.27,104.25,127.88,0.4319
20,165.00,682.00,11.6619,13.8924,18.8680,14.8074,231.37,118.78,152.97,0.4138
21,605.00,288.00,10.0499,12.1655,12.5300,11.5818,180.97,15.17,112.90,0.4526
22,625.00,705.00,16.0000,19.0000,19.2354,18.0785,282.48,180.00,62.10,0.4130
23,918.00,385.00,11.3137,13.0384,13.0384,12.4635,194.74,102.53,139.40,0.3976
24,651.00,45.00,10.6301,12.0416,13.4164,12.0294,187.96,135.95,112.25,0.4291
25,520.00,661.00,9.4340,13.0000,19.0263,13.8201,215.94,122.01,35.02,0.4580
26,244.00,409.00,11.0454,11.1803,11.6619,11.2959,176.50,111.37,126.16,0.3930
27,293.00,852.00,11.1803,11.3137,16.4012,12.9651,202.58,145.30,117.26,0.4619
28,580.00,885.00,11.6619,12.0416,14.3178,12.6738,198.03,116.20,124.26,0.5102
29,302.00,41.00,12.2066,13.6015,17.8885,14.5655,227.59,108.98,151.56,0.4434
30,937.00,923.00,12.0830,13.0384,20.0250,15.0488,235.14,123.08,152.69,0.4797
31,439.00,857.00,11.1803,12.1655,13.0000,12.1153,189.30,126.03,130.82,0.4416
32,602.00,981.00,10.0000,15.6205,19.2354,14.9520,233.62,129.81,98.97,0.4725
33,392.00,429.00,10.0000,13.0000,19.2094,14.0698,219.84,120.51,88.21,0.4396
34,271.00,669.00,18.0000,18.3576,18.7883,18.3820,287.22,119.36,64.80,0.4067
35,582.00,419.00,11.6619,11.6619,14.0357,12.4532,194.58,118.07,116.88,0.4431
36,242.00,880.00,12.0416,18.8680,19.0263,16.6453,260.08,27.24,88.25,0.4268
37,544.00,459.00,10.8167,14.0000,17.0000,13.9389,217.80,123.69,84.38,0.4941
38,82.00,415.00,11.1803,11.7047,15.2315,12.7055,198.52,120.29,102.89,0.4264
39,529.00,718.00,10.2956,13.0384,13.3417,12.2252,191.02,118.47,132.05,0.3504
40,28.00,537.00,10.8167,11.6619,18.0278,13.5021,210.97,115.35,30.51,0.4122
41,653.00,847.00,18.3576,20.0000,20.0000,19.4525,303.95,119.36,172.49,0.4805
42,367.00,448.00,11.7047,12.0830,14.0000,12.5959,196.81,135.57,109.98,0.4261
43,486.00,995.00,11.0454,13.6015,19.1050,14.5839,227.87,112.30,89.19,0.4653
44,86.00,1008.00,11.1803,12.0416,13.6015,12.2745,191.79,121.33,117.41,0.4154
45,143.00,959.00,10.0000,12.1655,12.5300,11.5652,180.71,136.33,114.52,0.3989
46,61.00,486.00,13.1529,19.2354,20.0000,17.4628,272.86,143.36,81.25,0.4247
47,235.00,910.00,12.0830,12.5300,20.1246,14.9125,233.01,126.95,87.88,0.4338
48,144.00,357.00,12.1655,12.5300,13.0384,12.5780,196.53,128.07,113.01,0.4429
49,629.00,492.00,12.0416,13.4164,19.0263,14.8281,231.69,111.80,38.62,0.4765
50,189.00,398.00,11.0454,11.4018,12.5300,11.6590,182.17,133.07,113.42,0.4116
51,172.00,389.00,11.6619,12.2066,13.0384,12.3023,192.22,114.04,125.36,0.4026
52,816.00,825.00,11.1803,13.4164,20.0998,14.8988,232.79,106.26,106.02,0.4460
53,302.00,976.00,12.3693,12.5300,13.0384,12.6459,197.59,104.57,136.51,0.4642
54,651.00,422.00,11.1803,12.1655,12.2066,11.8508,185.17,126.03,118.44,0.4593
55,642.00,267.00,11.6619,13.0384,13.6015,12.7673,199.49,125.36,113.01,0.4190
