Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,1007.00,537.00,26.2488,39.8121,40.4969,35.5193,277.49,82.47,140.65,0.4929
1,852.00,607.00,25.0799,40.0000,40.4969,35.1923,274.94,147.70,28.33,0.4708
2,981.00,228.00,24.0416,24.5967,39.4081,29.3488,229.29,108.43,99.29,0.4582
3,94.00,771.00,20.2485,42.0595,43.0465,35.1181,274.36,28.70,30.24,0.4622
4,919.00,100.00,39.4081,41.3038,42.9535,41.2218,322.05,61.25,119.52,0.4334
5,184.00,268.00,39.2173,40.2492,41.1096,40.1921,314.00,172.79,60.41,0.4065
6,513.00,194.00,25.8070,37.2022,39.3192,34.1094,266.48,89.28,151.77,0.4323
7,739.00,348.00,23.5372,40.8044,41.1461,35.1626,274.71,156.24,141.79,0.4497
8,363.00,614.00,26.4008,39.9249,63.0079,43.1112,336.81,149.37,16.74,0.4332
9,884.00,631.00,40.0000,40.4475,41.5933,40.6803,317.81,61.66,64.05,0.4399
10,480.00,878.00,25.0000,37.5766,39.2046,33.9271,265.06,152.07,89.12,0.4174
11,705.00,322.00,23.7065,24.1868,24.8395,24.2443,189.41,124.77,112.25,0.4855
12,665.00,339.00,23.3452,25.6125,42.0119,30.3232,236.90,118.79,28.37,0.4513
13,894.00,1006.00,24.1661,25.3180,42.5441,30.6761,239.66,123.53,90.89,0.4691
14,890.00,591.00,24.4131,40.4475,41.2311,35.3639,276.28,153.54,147.83,0.4318
15,687.00,590.00,23.0217,25.0599,41.4005,29.8274,233.03,121.10,145.34,0.4207
16,443.00,89.00,41.4367,43.4166,48.3735,44.4089,346.94,59.87,91.20,0.4002
17,821.00,542.00,23.1948,40.0000,43.1045,35.4331,276.82,29.44,93.44,0.4196
18,881.00,674.00,39.1152,39.8121,41.1461,40.0245,312.69,122.25,58.41,0.4533
19,778.00,600.00,42.1070,42.2019,42.7200,42.3430,330.80,32.24,114.64,0.4082
20,775.00,744.00,24.6982,39.0000,41.6173,35.1052,274.26,31.76,86.54,0.4192
21,589.00,724.00,25.0000,34.7131,38.5876,32.7669,255.99,154.76,132.52,0.3931
22,918.00,656.00,39.2046,41.1461,41.6293,40.6600,317.66,58.20,119.96,0.4536
23,825.00,958.00,25.0799,40.7185,42.5441,36.1142,282.14,150.75,28.13,0.4198
24,758.00,805.00,22.2036,27.8029,40.1995,30.0687,234.91,119.93,87.95,0.4149
25,487.00,35.00,22.4722,22.8473,27.0740,24.1312,188.52,124.53,118.04,0.4086
26,693.00,93.00,24.8395,41.1461,41.3038,35.7631,279.40,156.04,146.85,0.4461
27,480.00,381.00,41.0488,42.0476,42.0595,41.7186,325.93,121.35,62.47,0.3977
28,894.00,899.00,23.1948,24.1661,42.5441,29.9683,234.13,121.88,30.98,0.4122
29,284.00,690.00,48.0104,62.6418,63.2456,57.9659,452.86,161.02,160.37,0.3848
30,695.00,506.00,25.1794,46.3249,52.1536,41.2193,322.03,64.18,177.56,0.4202
