Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,63.00,68.00,6.4031,6.7082,9.4340,7.5151,234.85,102.09,109.33,0.4825
1,77.00,49.00,5.8310,6.0828,9.8489,7.2542,226.69,130.43,173.00,0.3476
2,711.00,66.00,5.8310,6.3246,7.0000,6.3852,199.54,130.60,120.96,0.3494
3,772.00,998.00,5.0000,5.3852,6.7082,5.6978,178.06,148.67,116.57,0.4022
4,761.00,514.00,6.0000,9.0554,9.4868,8.1807,255.65,96.34,161.57,0.4269
5,987.00,614.00,6.3246,7.0000,10.0499,7.7915,243.48,108.43,167.28,0.4795
6,384.00,400.00,5.6569,7.2111,9.4340,7.4340,232.31,101.31,167.01,0.3841
7,392.00,30.00,6.0000,6.4031,6.4031,6.2687,195.90,128.66,128.66,0.3334
8,122.00,944.00,5.0990,6.7082,9.0000,6.9357,216.74,127.87,78.69,0.3595
9,837.00,789.00,5.3852,6.0828,10.0499,7.1726,224.14,121.26,152.49,0.3201
10,740.00,779.00,6.0000,7.2111,9.2195,7.4769,233.65,123.69,40.60,0.3222
11,713.00,771.00,5.8310,6.0000,6.4031,6.0780,189.94,120.96,110.38,0.3047
12,201.00,825.00,5.6569,6.3246,9.4340,7.1385,223.08,116.57,102.99,0.3563
13,329.00,508.00,7.0711,8.0623,8.9443,8.0259,250.81,37.87,108.43,0.3746
14,203.00,285.00,4.2426,6.7082,8.9443,6.6317,207.24,108.43,161.57,0.4291
15,87.00,7.00,6.0000,8.9443,8.9443,7.9628,248.84,153.43,153.43,0.3308
16,783.00,797.00,5.3852,5.8310,8.0000,6.4054,200.17,127.23,111.80,0.3113
17,496.00,971.00,5.0000,5.3852,6.7082,5.6978,178.06,148.67,116.57,0.4384
18,80.00,197.00,6.7082,8.9443,9.4340,8.3622,261.32,90.00,148.57,0.3710
19,202.00,502.00,6.0000,6.7082,7.2111,6.6398,207.49,116.57,146.31,0.3644
20,654.00,861.00,6.7082,7.0000,9.8489,7.8524,245.39,116.57,92.60,0.3265
21,637.00,68.00,5.6569,5.6569,7.0711,6.1283,191.51,90.00,143.13,0.5092
22,219.00,551.00,5.3852,6.0000,6.3246,5.9032,184.48,111.80,139.76,0.3508
23,6.00,235.00,5.3852,6.0828,7.6158,6.3612,198.79,121.26,135.00,0.3510
24,299.00,686.00,6.3246,8.9443,9.0554,8.1081,253.38,135.00,155.22,0.3668
25,331.00,602.00,5.8310,7.2801,8.5440,7.2184,225.57,105.02,79.59,0.3165
26,231.00,643.00,5.0000,5.8310,9.4340,6.7550,211.09,112.17,158.88,0.3327
27,74.00,860.00,7.2111,8.9443,9.0554,8.4036,262.61,172.87,130.03,0.3659
28,205.00,442.00,6.0828,6.7082,8.9443,7.2451,226.41,126.03,162.90,0.3133
29,99.00,406.00,5.6569,6.0000,9.0000,6.8856,215.18,135.00,45.00,0.3506
30,308.00,829.00,5.3852,5.6569,5.8310,5.6243,175.76,23.20,127.23,0.3792
31,965.00,950.00,5.0000,5.8310,5.8310,5.5540,173.56,120.96,120.96,0.3386
32,232.00,760.00,5.8310,6.7082,9.4340,7.3244,228.89,122.47,88.96,0.3082
33,505.00,455.00,5.3852,9.0000,9.8489,8.0780,252.44,21.80,92.16,0.3162
34,248.00,468.00,6.0828,8.0000,9.4340,7.8389,244.97,80.54,138.53,0.3701
35,276.00,11.00,5.0000,6.0000,8.0623,6.3541,198.57,126.87,150.26,0.3878
36,638.00,671.00,7.2111,7.6158,9.0000,7.9423,248.20,146.89,33.69,0.3324
37,221.00,522.00,7.6158,7.8102,9.4340,8.2867,258.96,16.61,145.20,0.3533
38,224.00,412.00,4.4721,6.0000,8.0623,6.1781,193.07,116.57,123.69,0.3674
39,177.00,915.00,5.8310,5.8310,8.2462,6.6360,207.38,118.07,106.93,0.3994
40,856.00,173.00,5.6569,6.0828,6.3246,6.0214,188.17,125.54,153.43,0.3718
41,705.00,321.00,6.0000,6.4031,8.9443,7.1158,222.37,128.66,153.43,0.4099
42,666.00,460.00,5.8310,6.0000,8.9443,6.9251,216.41,120.96,85.60,0.3362
43,432.00,994.00,5.0000,5.3852,5.3852,5.2568,164.27,148.67,121.33,0.3862
44,969.00,460.00,5.3852,8.2462,8.6023,7.4112,231.60,172.23,103.74,0.3446
45,183.00,324.00,5.0000,6.0828,10.0000,7.0276,219.61,136.33,143.13,0.4364
46,293.00,524.00,5.0000,6.4031,7.2111,6.2047,193.90,128.66,123.69,0.3758
47,788.00,335.00,4.4721,5.6569,5.8310,5.3200,166.25,161.57,94.40,0.3813
48,498.00,633.00,5.0000,6.0000,7.8102,6.2701,195.94,126.87,92.94,0.3365
49,854.00,204.00,6.0000,6.4031,7.6158,6.6730,208.53,128.66,113.20,0.3585
50,669.00,397.00,5.8310,6.0000,6.4031,6.0780,189.94,120.96,97.70,0.3509
51,245.00,705.00,6.7082,6.7082,7.0711,6.8292,213.41,126.87,124.70,0.3285
52,232.00,624.00,5.0000,7.0711,7.0711,6.3807,199.40,135.00,135.00,0.3315
53,67.00,539.00,5.0000,5.0990,5.3852,5.1614,161.29,138.18,121.33,0.4635
54,762.00,262.00,6.0828,9.2195,10.0000,8.4341,263.57,148.86,80.54,0.4039
55,564.00,104.00,6.0828,6.4031,7.6158,6.7006,209.39,150.80,103.74,0.3353
56,862.00,241.00,6.4031,7.0000,7.2111,6.8714,214.73,128.66,107.65,0.3631
57,265.00,518.00,5.0000,6.0000,9.4340,6.8113,212.85,126.87,21.12,0.3751
58,44.00,443.00,7.0711,8.5440,9.0000,8.2050,256.41,167.57,81.87,0.3853
59,698.00,868.00,5.0990,5.8310,5.8310,5.5870,174.59,132.27,109.65,0.3249
60,163.00,854.00,7.0000,10.0000,10.0000,9.0000,281.25,90.00,90.00,0.3603
61,871.00,123.00,6.0000,6.4031,9.0000,7.1344,222.95,128.66,90.00,0.3569
62,476.00,70.00,6.0828,6.7082,8.0623,6.9511,217.22,126.03,110.28,0.2932
63,161.00,631.00,5.0000,5.8310,6.7082,5.8464,182.70,120.96,116.57,0.3219
64,21.00,327.00,6.0828,7.6158,9.8489,7.8491,245.29,122.66,146.58,0.3599
65,825.00,418.00,5.3852,6.3246,7.0711,6.2603,195.63,139.76,103.67,0.3214
66,417.00,608.00,5.6569,6.0828,6.7082,6.1493,192.16,125.54,108.43,0.2937
67,116.00,112.00,5.0000,5.6569,6.0000,5.5523,173.51,98.13,126.87,0.3029
68,440.00,860.00,5.6569,5.8310,7.0711,6.1863,193.32,104.04,143.13,0.3713
69,936.00,72.00,6.3246,7.0711,8.5440,7.3132,228.54,100.30,92.12,0.2875
70,167.00,35.00,5.3852,6.0828,8.9443,6.8041,212.63,121.26,138.37,0.3318
71,133.00,645.00,5.0990,6.7082,7.0000,6.2691,195.91,142.13,101.31,0.3056
72,804.00,21.00,5.0000,5.0000,7.0000,5.6667,177.08,106.26,126.87,0.3467
73,26.00,432.00,4.2426,6.0828,6.7082,5.6779,177.43,144.46,18.43,0.4124
74,180.00,1013.00,5.3852,5.8310,6.0828,5.7663,180.20,127.23,121.26,0.3520
75,321.00,127.00,5.0000,5.6569,6.4031,5.6867,177.71,135.00,128.66,0.3919
76,886.00,988.00,5.0990,7.0000,8.6023,6.9004,215.64,101.31,114.23,0.3414
77,568.00,607.00,5.0000,6.0000,8.0000,6.3333,197.92,126.87,143.13,0.3548
78,635.00,871.00,5.0000,6.3246,6.7082,6.0109,187.84,145.30,116.57,0.3364
79,419.00,911.00,5.0000,5.8310,7.6158,6.1489,192.15,120.96,113.20,0.3649
80,220.00,669.00,5.6569,6.0828,8.9443,6.8946,215.46,144.46,108.43,0.3889
81,539.00,301.00,5.3852,5.3852,7.0711,5.9471,185.85,136.40,119.93,0.3859
82,415.00,798.00,5.0000,5.8310,7.0711,5.9673,186.48,112.17,135.00,0.3302
83,490.00,914.00,5.0000,5.0000,6.7082,5.5694,174.04,106.26,100.30,0.3679
84,284.00,498.00,6.0828,7.2111,9.4340,7.5759,236.75,114.23,138.53,0.3201
85,941.00,582.00,5.8310,6.0828,6.7082,6.2073,193.98,130.43,122.47,0.3571
86,184.00,803.00,5.8310,6.0000,6.3246,6.0518,189.12,120.96,130.60,0.3563
87,857.00,313.00,5.0990,5.8310,7.2111,6.0470,188.97,109.65,135.00,0.3712
88,157.00,231.00,5.8310,6.0828,6.7082,6.2073,193.98,111.50,122.47,0.3849
89,309.00,234.00,4.4721,6.3246,7.0000,5.9322,185.38,135.00,116.57,0.3041
90,233.00,750.00,5.6569,9.4340,9.4340,8.1749,255.47,102.99,167.01,0.3301
91,87.00,166.00,5.0000,6.4031,7.0711,6.1581,192.44,104.47,135.00,0.3035
92,516.00,170.00,5.6569,6.0828,7.2111,6.3169,197.40,144.46,101.31,0.3416
93,594.00,822.00,5.8310,6.0828,6.4031,6.1056,190.80,130.43,110.38,0.3645
94,721.00,342.00,5.8310,6.0828,6.4031,6.1056,190.80,130.43,110.38,0.3786
95,499.00,158.00,5.8310,6.4031,9.4340,7.2227,225.71,110.38,88.96,0.3415
96,715.00,721.00,6.3246,7.2111,9.0000,7.5119,234.75,127.88,161.57,0.3266
97,862.00,565.00,6.3246,6.4031,6.7082,6.4786,202.46,147.09,98.13,0.3228
98,254.00,34.00,5.8310,5.8310,6.0000,5.8873,183.98,118.07,120.96,0.3415
99,436.00,256.00,5.0990,6.4031,6.7082,6.0701,189.69,117.35,127.87,0.3302
100,865.00,227.00,7.0000,8.2462,8.5440,7.9301,247.81,104.04,159.44,0.4056
101,56.00,359.00,7.6158,9.4340,10.0000,9.0166,281.77,81.19,156.80,0.3391
102,845.00,873.00,5.0990,6.4031,7.2111,6.2377,194.93,152.65,112.38,0.3537
103,37.00,399.00,3.1623,5.0990,8.9443,5.7352,179.22,97.13,135.00,0.3899
104,261.00,700.00,6.7082,6.7082,7.0000,6.8055,212.67,126.87,116.57,0.2891
105,79.00,474.00,7.2801,9.4340,9.4340,8.7160,272.38,137.95,47.95,0.3284
106,44.00,453.00,5.3852,10.0000,10.2956,8.5603,267.51,111.80,50.86,0.3679
107,837.00,872.00,3.6056,4.1231,8.0623,5.2636,164.49,137.73,26.57,0.4251
108,223.00,628.00,5.3852,6.0000,8.9443,6.7765,211.76,111.80,94.76,0.2896
109,324.00,352.00,6.0000,6.4031,8.5440,6.9824,218.20,128.66,110.56,0.3397
110,89.00,430.00,5.6569,6.0828,7.6158,6.4518,201.62,125.54,111.80,0.3332
111,212.00,203.00,5.8310,5.8310,6.0000,5.8873,183.98,118.07,120.96,0.3867
112,165.00,823.00,6.0828,8.6023,9.0554,7.9135,247.30,153.92,93.12,0.3007
113,581.00,573.00,5.0000,6.0000,7.2111,6.0704,189.70,126.87,109.44,0.3661
114,658.00,206.00,5.8310,7.0711,9.4340,7.4453,232.67,129.09,27.03,0.4285
115,606.00,589.00,5.0990,8.9443,9.0554,7.6996,240.61,142.13,72.35,0.3115
116,84.00,335.00,5.0000,8.9443,8.9443,7.6295,238.42,63.43,116.57,0.3695
117,751.00,882.00,6.7082,6.7082,7.2801,6.8988,215.59,126.87,100.62,0.2846
118,427.00,584.00,5.8310,6.0828,7.2111,6.3749,199.22,130.43,115.35,0.2990
119,569.00,203.00,5.3852,7.2801,10.0499,7.5717,236.62,127.75,27.51,0.3259
120,134.00,113.00,5.8310,6.0828,6.7082,6.2073,193.98,130.43,122.47,0.3032
121,285.00,885.00,5.0000,5.8310,7.0711,5.9673,186.48,112.17,135.00,0.3428
122,20.00,356.00,5.0990,9.0000,10.0000,8.0330,251.03,78.69,48.18,0.3291
123,209.00,978.00,5.8310,6.0828,9.4340,7.1159,222.37,111.50,91.04,0.3548
124,139.00,287.00,5.8310,5.8310,6.0000,5.8873,183.98,118.07,120.96,0.3869
125,282.00,529.00,5.8310,6.7082,7.0000,6.5131,203.53,122.47,120.96,0.3817
126,475.00,100.00,5.8310,6.0828,6.7082,6.2073,193.98,111.50,122.47,0.2918
127,704.00,239.00,6.4031,6.7082,7.2111,6.7741,211.69,114.78,162.35,0.4043
128,111.00,557.00,6.0828,7.2801,9.0554,7.4728,233.52,115.41,86.88,0.4069
129,307.00,265.00,5.6569,6.0828,9.0000,6.9132,216.04,125.54,135.00,0.2857
130,46.00,363.00,4.4721,6.3246,10.0000,6.9322,216.63,135.00,26.57,0.3615
131,11.00,47.00,5.8310,5.8310,6.0828,5.9149,184.84,118.07,111.50,0.3212
132,598.00,761.00,4.2426,6.4031,7.2111,5.9523,186.01,96.34,168.69,0.4058
133,106.00,933.00,6.4031,7.2111,8.9443,7.5195,234.98,107.65,102.09,0.3530
134,12.00,341.00,5.8310,7.2111,9.8489,7.6303,238.45,115.35,97.00,0.3517
135,190.00,596.00,7.0711,9.4340,9.8489,8.7846,274.52,40.14,15.83,0.3197
136,539.00,229.00,4.4721,5.0000,8.0623,5.8448,182.65,169.70,93.18,0.4550
137,117.00,634.00,6.7082,10.0000,10.0499,8.9194,278.73,63.43,32.28,0.2858
138,207.00,597.00,6.0000,9.4340,9.8489,8.4276,263.36,147.99,156.04,0.3390
139,102.00,571.00,6.0000,7.2111,9.4340,7.5484,235.89,123.69,32.01,0.3719
140,294.00,620.00,5.0000,6.3246,7.8102,6.3783,199.32,71.57,39.81,0.3830
141,53.00,448.00,6.3246,8.0623,8.0623,7.4830,233.84,131.82,25.56,0.3682
142,4.00,316.00,5.0990,5.8310,9.0554,6.6618,208.18,109.65,85.03,0.3957
143,191.00,575.00,5.8310,7.2801,9.8489,7.6533,239.17,105.02,144.93,0.3670
144,296.00,885.00,5.3852,5.8310,6.0828,5.7663,180.20,127.23,121.26,0.3919
145,15.00,13.00,5.0000,5.8310,6.0828,5.6379,176.18,112.17,136.33,0.3700
146,304.00,441.00,5.0000,5.0000,5.6569,5.2190,163.09,143.13,135.00,0.3722
147,293.00,503.00,6.7082,7.0711,9.8489,7.8760,246.13,124.70,92.60,0.3558
148,221.00,944.00,6.4031,6.7082,7.6158,6.9090,215.91,114.78,28.14,0.3427
149,248.00,791.00,7.2111,9.0554,9.4340,8.5668,267.71,27.35,155.70,0.2996
150,282.00,539.00,5.3852,5.8310,8.9443,6.7201,210.00,127.23,41.63,0.3508
151,662.00,831.00,6.0000,6.7082,9.0000,7.2361,226.13,116.57,90.00,0.3242
152,237.00,815.00,4.1231,6.0828,6.7082,5.6380,176.19,113.50,139.40,0.4133
153,536.00,327.00,6.0828,6.4031,6.4031,6.2963,196.76,119.20,138.12,0.3550
154,257.00,20.00,5.0000,5.8310,7.0000,5.9437,185.74,112.17,126.87,0.3776
155,507.00,210.00,5.8310,9.0554,9.4340,8.1068,253.34,155.38,27.03,0.3041
156,18.00,407.00,5.8310,7.2801,8.0000,7.0370,219.91,133.09,120.96,0.4067
157,255.00,327.00,6.4031,8.6023,8.9443,7.9832,249.48,164.20,102.09,0.3011
158,183.00,237.00,5.6569,6.0828,8.0623,6.6006,206.27,144.46,105.26,0.3760
159,206.00,617.00,6.3246,6.7082,9.4340,7.4889,234.03,135.00,39.56,0.3438
160,757.00,906.00,5.6569,6.0828,7.6158,6.4518,201.62,144.46,111.80,0.3513
161,138.00,563.00,5.0990,5.6569,5.8310,5.5289,172.78,146.31,109.65,0.3709
162,125.00,137.00,6.3246,7.0711,8.9443,7.4466,232.71,100.30,98.13,0.2988
163,629.00,655.00,3.6056,9.0000,9.4868,7.3641,230.13,146.31,74.74,0.3009
164,68.00,529.00,7.0711,7.2111,9.0000,7.7607,242.52,131.82,81.87,0.3807
165,311.00,261.00,5.6569,10.2956,10.2956,8.7494,273.42,105.95,164.05,0.3093
166,771.00,931.00,6.0828,6.4031,7.2111,6.5657,205.18,138.12,114.23,0.3230
167,460.00,29.00,5.0000,5.8310,6.0000,5.6103,175.32,112.17,126.87,0.3367
168,563.00,136.00,5.8310,7.0000,7.2111,6.6807,208.77,120.96,115.35,0.3342
169,75.00,253.00,5.8310,5.8310,6.0000,5.8873,183.98,118.07,120.96,0.4480
170,273.00,680.00,5.0000,5.3852,5.3852,5.2568,164.27,164.93,58.67,0.3145
171,315.00,148.00,5.0000,5.8310,6.4031,5.7447,179.52,120.96,128.66,0.3836
172,68.00,196.00,5.8310,6.0828,6.7082,6.2073,193.98,111.50,122.47,0.3074
173,584.00,244.00,5.0000,6.0828,6.3246,5.8024,181.33,136.33,124.70,0.2942
174,630.00,757.00,5.0000,5.3852,6.4031,5.5961,174.88,111.80,128.66,0.3363
175,409.00,31.00,5.6569,5.8310,7.0000,6.1626,192.58,104.04,135.00,0.3095
176,137.00,848.00,5.3852,5.3852,6.0828,5.6177,175.55,136.40,121.26,0.3416
177,525.00,175.00,5.0990,5.8310,5.8310,5.5870,174.59,132.27,109.65,0.3554
178,780.00,75.00,5.8310,6.0828,6.7082,6.2073,193.98,130.43,122.47,0.3315
179,745.00,298.00,5.8310,6.3246,9.8489,7.3348,229.21,130.60,35.07,0.4800
180,144.00,619.00,5.3852,5.8310,8.9443,6.7201,210.00,127.23,85.24,0.3521
181,565.00,603.00,5.0000,6.3246,8.0623,6.4623,201.95,145.30,113.39,0.3414
182,664.00,669.00,6.7082,7.0711,8.6023,7.4605,233.14,108.43,117.90,0.3743
183,52.00,477.00,7.0711,7.2801,8.9443,7.7651,242.66,97.82,145.30,0.3507
184,560.00,384.00,5.6569,6.0000,6.3246,5.9938,187.31,135.00,116.57,0.2945
185,312.00,457.00,6.7082,6.7082,9.4868,7.6344,238.58,126.87,81.87,0.3867
186,275.00,39.00,6.0000,9.0554,9.4340,8.1631,255.10,83.66,147.99,0.3377
187,88.00,499.00,6.7082,7.0711,8.9443,7.5745,236.70,108.43,90.00,0.3705
188,153.00,879.00,5.0000,5.0990,9.8489,6.6493,207.79,138.18,60.83,0.3648
189,851.00,481.00,5.8310,6.3246,9.8489,7.3348,229.21,130.60,144.93,0.3299
190,252.00,368.00,5.0000,7.0711,8.0000,6.6904,209.07,135.00,53.13,0.3676
191,475.00,146.00,4.4721,7.0711,9.4340,6.9924,218.51,124.70,31.43,0.4037
192,304.00,741.00,5.8310,9.4340,9.4340,8.2330,257.28,88.96,27.03,0.3342
193,150.00,772.00,6.3246,7.0711,8.5440,7.3132,228.54,116.57,128.99,0.3288
