Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,505.00,249.00,10.7703,12.1655,13.0384,11.9914,187.37,148.74,107.40,11.1350
1,462.00,395.00,16.9706,18.0278,19.2354,18.0779,282.47,64.44,107.10,8.6503
2,483.00,175.00,11.1803,12.2066,13.1529,12.1799,190.31,118.44,125.31,10.0314
3,420.00,36.00,11.1803,12.0416,12.8062,12.0094,187.65,121.33,114.78,9.3154
4,361.00,81.00,12.0416,12.6491,12.8062,12.4990,195.30,113.20,123.90,9.1541
5,333.00,492.00,16.7631,17.4642,19.6469,17.9581,280.59,130.98,177.39,8.4392
6,466.00,112.00,12.1655,12.2066,15.2971,13.2230,206.61,115.53,110.77,9.2789
7,483.00,124.00,11.7047,12.2066,14.3178,12.7430,199.11,125.02,97.89,9.0201
8,290.00,71.00,11.1803,11.7047,12.0416,11.6422,181.91,120.29,121.33,8.8618
9,244.00,63.00,11.1803,13.6015,15.6205,13.4674,210.43,133.67,150.50,10.0994
10,434.00,68.00,11.1803,11.1803,12.8062,11.7223,183.16,126.87,114.78,8.7614
11,428.00,180.00,12.0416,12.0830,12.7279,12.2842,191.94,119.21,130.24,9.7492
12,197.00,417.00,15.8114,16.6433,17.4642,16.6397,259.99,178.04,101.07,8.7178
13,490.00,217.00,10.7703,12.1655,13.0384,11.9914,187.37,121.26,125.73,9.8796
14,488.00,237.00,11.6619,11.7047,12.1655,11.8440,185.06,129.05,111.50,9.1017
15,349.00,191.00,12.0416,15.8114,17.8885,15.2472,238.24,129.46,68.20,9.3324
16,439.00,27.00,11.0454,12.0416,12.0830,11.7233,183.18,126.44,119.64,8.5408
17,415.00,76.00,12.0416,12.0830,12.8062,12.3103,192.35,119.21,123.90,8.4414
18,392.00,125.00,11.6619,12.0416,12.0830,11.9288,186.39,116.20,124.59,8.7182
19,405.00,5.00,11.1803,12.0416,19.1050,14.1090,220.45,121.33,32.57,7.6189
20,364.00,61.00,11.1803,12.2066,13.1529,12.1799,190.31,118.44,125.31,8.5742
21,468.00,91.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,8.8703
22,484.00,155.00,11.6619,14.0357,18.6011,14.7662,230.72,116.88,95.29,8.5919
23,454.00,60.00,11.1803,12.1655,12.8062,12.0507,188.29,126.03,114.78,8.4486
24,502.00,116.00,11.6619,12.0830,12.1655,11.9702,187.03,124.59,111.50,8.4576
25,446.00,121.00,12.1655,12.5300,13.6015,12.7657,199.46,128.07,116.57,8.5392
26,278.00,208.00,11.4018,17.0880,17.4642,15.3180,239.34,54.19,98.37,11.2722
27,125.00,482.00,10.2956,11.0454,12.0416,11.1275,173.87,113.86,109.31,8.7022
28,306.00,85.00,12.0830,12.3693,12.8062,12.4195,194.06,128.48,116.90,8.3687
29,498.00,310.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,8.4708
30,375.00,114.00,11.1803,12.8062,13.1529,12.3798,193.44,114.78,125.31,8.3679
31,380.00,73.00,11.1803,12.0830,12.2066,11.8233,184.74,124.75,114.69,8.1627
32,410.00,117.00,12.1655,12.8062,13.0000,12.6573,197.77,119.20,122.08,8.1198
33,481.00,298.00,12.0830,12.1655,13.6015,12.6167,197.14,123.91,119.53,8.6895
34,105.00,491.00,11.4018,12.0000,12.2066,11.8694,185.46,105.26,129.75,8.5285
35,500.00,136.00,11.4018,12.0830,13.0384,12.1744,190.23,117.68,123.48,8.2562
36,348.00,28.00,12.0000,12.0416,12.5300,12.1905,190.48,131.63,118.61,8.1511
37,437.00,47.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,7.8892
38,504.00,95.00,11.1803,11.7047,12.1655,11.6835,182.56,133.45,107.10,8.0572
39,449.00,100.00,11.1803,12.1655,12.2066,11.8508,185.17,126.03,118.44,8.3647
40,505.00,74.00,11.0454,11.1803,11.7047,11.3101,176.72,111.37,115.18,8.1280
41,253.00,402.00,12.8062,13.8924,14.3178,13.6722,213.63,171.60,140.75,8.7995
42,15.00,463.00,13.0000,14.8661,15.2971,14.3877,224.81,177.03,101.31,7.5139
43,478.00,215.00,12.1655,12.2066,13.0000,12.4574,194.65,115.53,122.08,9.0159
44,469.00,127.00,14.3178,15.2971,17.0000,15.5383,242.79,89.22,102.09,9.4403
45,451.00,302.00,10.7703,17.0000,18.1108,15.2937,238.96,96.27,151.86,9.4231
46,384.00,32.00,11.1803,11.6619,12.2066,11.6829,182.55,131.27,114.69,7.2489
47,494.00,502.00,12.2066,13.0384,17.0000,14.0817,220.03,120.59,26.94,7.5754
48,178.00,500.00,12.0416,12.8062,19.6977,14.8485,232.01,123.90,28.73,6.9446
49,391.00,430.00,9.2195,11.6619,14.2127,11.6980,182.78,133.49,116.76,7.8539
50,71.00,484.00,12.6491,13.4164,14.4222,13.4959,210.87,81.87,105.26,7.2626
51,372.00,134.00,12.0416,12.0830,12.8062,12.3103,192.35,119.21,123.90,8.0149
52,387.00,166.00,11.1803,12.0416,12.8062,12.0094,187.65,121.33,114.78,7.9797
53,491.00,268.00,11.0000,11.4018,17.4642,13.2887,207.64,127.87,23.63,8.7678
54,507.00,229.00,10.1980,11.0454,13.1529,11.4654,179.15,163.50,110.06,8.7576
55,187.00,457.00,13.0000,13.0384,14.1421,13.3935,209.27,117.02,165.51,7.2221
56,315.00,139.00,12.5300,12.8062,13.3417,12.8926,201.45,112.73,131.61,7.9719
57,473.00,203.00,11.0000,11.3137,13.0000,11.7712,183.93,135.00,112.62,8.9068
58,198.00,492.00,11.4018,12.0830,12.1655,11.8834,185.68,117.68,118.41,7.1074
59,479.00,11.00,11.3137,11.7047,12.0416,11.6867,182.60,115.02,130.24,7.6813
60,451.00,234.00,11.0454,11.6619,12.8062,11.8378,184.97,126.16,123.47,8.2018
61,459.00,172.00,12.0416,12.0416,13.0000,12.3611,193.14,126.87,117.38,8.2581
62,35.00,247.00,11.3137,12.1655,13.0000,12.1597,190.00,125.54,112.38,6.7347
63,377.00,93.00,12.0000,12.0416,12.5300,12.1905,190.48,131.63,118.61,7.9982
64,36.00,48.00,12.0830,12.5300,13.0000,12.5377,195.90,175.83,88.18,6.2813
