Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,975.00,745.00,7.6158,8.2462,8.9443,8.2688,258.40,127.23,93.37,0.3393
1,899.00,955.00,5.0000,5.6569,5.8310,5.4959,171.75,135.00,120.96,0.3610
2,964.00,236.00,5.8310,5.8310,6.0828,5.9149,184.84,118.07,130.43,0.3257
3,977.00,547.00,5.3852,6.3246,7.8102,6.5067,203.33,130.24,118.39,0.3494
4,919.00,84.00,5.0990,7.6158,8.5440,7.0863,221.45,101.89,80.75,0.4345
5,562.00,71.00,4.4721,6.0828,6.7082,5.7544,179.82,107.10,126.87,0.3843
6,893.00,736.00,5.0000,6.0000,6.3246,5.7749,180.46,126.87,124.70,0.3683
7,954.00,696.00,6.0000,6.4031,9.4340,7.2790,227.47,128.66,32.01,0.3990
8,926.00,683.00,6.0828,6.3246,6.4031,6.2701,195.94,98.97,119.20,0.3898
9,830.00,927.00,5.0000,6.3246,7.0711,6.1319,191.62,124.70,118.74,0.3296
10,840.00,544.00,5.0000,6.7082,7.8102,6.5062,203.32,116.57,129.81,0.3130
11,690.00,472.00,5.3852,5.6569,7.2801,6.1074,190.86,156.80,84.14,0.3276
12,384.00,359.00,6.0828,7.0711,7.2111,6.7883,212.13,107.59,136.85,0.3124
13,810.00,410.00,6.0000,6.4031,6.7082,6.3704,199.08,128.66,116.57,0.3447
14,876.00,838.00,5.0990,5.3852,6.4031,5.6291,175.91,100.49,130.03,0.3337
15,485.00,432.00,5.8310,5.8310,7.0711,6.2443,195.14,118.07,112.83,0.4337
16,1018.00,355.00,7.0711,7.2111,9.0554,7.7792,243.10,101.31,141.34,0.3869
17,279.00,996.00,4.0000,6.7082,7.0711,5.9264,185.20,116.57,135.00,0.3875
18,188.00,535.00,5.8310,8.5440,9.4340,7.9363,248.01,38.48,88.96,0.3374
19,51.00,103.00,5.3852,7.6158,7.6158,6.8722,214.76,135.00,135.00,0.3531
20,878.00,449.00,5.8310,6.0000,7.6158,6.4822,202.57,149.04,97.77,0.3460
21,652.00,908.00,6.4031,9.2195,10.1980,8.6069,268.97,100.74,40.03,0.3200
22,894.00,586.00,5.3852,5.6569,7.0711,6.0377,188.68,156.80,113.20,0.3780
23,833.00,527.00,5.6569,8.5440,10.1980,8.1330,254.16,114.44,33.69,0.3174
24,1016.00,609.00,6.3246,9.0554,9.4340,8.2713,258.48,167.91,103.57,0.3305
25,917.00,433.00,5.3852,6.3246,7.0711,6.2603,195.63,139.76,119.93,0.3210
26,315.00,394.00,4.2426,5.0000,6.4031,5.2153,162.98,135.00,96.34,0.2979
27,902.00,158.00,6.0828,6.0828,6.0828,6.0828,190.09,161.08,108.92,0.3362
28,931.00,150.00,5.3852,6.0000,8.5440,6.6431,207.60,111.80,178.75,0.3535
29,970.00,620.00,5.8310,6.4031,9.4340,7.2227,225.71,110.38,27.03,0.3631
30,230.00,907.00,6.0828,6.4031,7.2111,6.5657,205.18,138.12,114.23,0.3297
31,736.00,1010.00,6.4031,6.4031,9.8489,7.5517,235.99,102.68,27.38,0.3060
32,811.00,158.00,5.6569,6.0828,6.7082,6.1493,192.16,125.54,108.43,0.3009
33,983.00,969.00,6.0000,6.4031,6.4031,6.2687,195.90,128.66,128.66,0.2757
34,849.00,804.00,5.3852,6.0828,10.0499,7.1726,224.14,121.26,27.51,0.3266
35,927.00,931.00,6.3246,8.6023,9.0554,7.9941,249.82,107.10,167.91,0.3063
