Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,327.00,504.00,11.4018,13.0384,19.2354,14.5585,227.48,109.65,83.72,7.9657
1,454.00,414.00,11.1803,14.0357,19.0263,14.7474,230.43,112.48,156.45,8.3129
2,18.00,502.00,10.0000,12.0000,15.8114,12.6038,196.93,143.13,18.43,8.9343
3,445.00,299.00,13.0384,13.0384,17.0000,14.3589,224.36,126.87,85.60,8.3412
4,419.00,274.00,12.0000,16.1245,17.0294,15.0513,235.18,60.26,139.76,9.2949
5,263.00,458.00,10.6301,13.6015,19.2354,14.4890,226.39,121.71,32.21,8.1783
6,478.00,271.00,12.0000,12.0830,12.2066,12.0965,189.01,114.44,124.99,7.6724
7,474.00,313.00,12.0830,12.8062,13.1529,12.6807,198.14,116.90,123.19,7.5601
8,455.00,322.00,12.5300,12.5300,13.1529,12.7376,199.03,122.78,127.36,7.3401
9,489.00,345.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,7.5740
10,157.00,505.00,12.0416,12.7279,20.3961,15.0552,235.24,130.24,96.55,6.8159
11,499.00,241.00,12.2066,12.5300,13.0384,12.5916,196.74,116.40,120.59,7.1501
12,466.00,112.00,12.1655,17.0294,17.8045,15.6665,244.79,149.23,132.38,7.6552
13,504.00,378.00,11.1803,11.7047,12.0416,11.6422,181.91,133.45,111.80,7.4017
14,343.00,374.00,12.3693,13.8924,15.5563,13.9394,217.80,134.29,120.96,7.5834
15,476.00,292.00,12.2066,12.5300,13.0384,12.5916,196.74,116.40,120.59,7.3130
16,210.00,406.00,12.3693,13.0000,13.0000,12.7898,199.84,75.96,104.04,7.4575
17,453.00,101.00,17.0294,17.4929,17.4929,17.3384,270.91,108.80,71.20,7.9387
18,226.00,419.00,13.0384,13.3417,13.6015,13.3272,208.24,72.61,111.50,7.4902
19,487.00,366.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,7.3352
20,506.00,357.00,10.7703,11.4018,12.0416,11.4046,178.20,142.94,107.04,7.4564
21,499.00,85.00,11.1803,12.2066,12.5300,11.9723,187.07,114.69,128.92,6.8911
22,453.00,343.00,12.5300,12.8062,14.1421,13.1594,205.62,112.73,126.74,7.0717
23,201.00,469.00,11.4018,11.7047,13.1529,12.0865,188.85,122.14,119.13,7.2624
24,414.00,353.00,12.0830,12.3693,13.0384,12.4969,195.26,169.59,110.05,7.5747
25,213.00,501.00,12.0416,12.8062,20.0000,14.9493,233.58,123.90,32.11,7.2254
26,207.00,428.00,11.6619,11.7047,13.1529,12.1732,190.21,129.05,112.22,7.1959
27,461.00,259.00,12.0416,12.8062,13.0000,12.6159,197.12,123.90,117.38,6.8427
28,232.00,493.00,11.1803,12.0416,12.0830,11.7683,183.88,121.33,124.75,6.9119
29,507.00,5.00,10.0499,18.1108,19.9249,16.0285,250.45,89.37,23.24,6.1896
30,508.00,336.00,11.1803,12.0416,20.8087,14.6769,229.33,105.07,135.52,7.2273
31,292.00,366.00,10.8167,16.0000,17.4642,14.7603,230.63,123.69,136.93,7.6577
32,192.00,393.00,12.3693,13.0000,13.9284,13.0992,204.68,104.04,144.93,6.9166
33,30.00,502.00,12.0000,12.2066,20.8806,15.0291,234.83,124.99,16.70,7.1946
34,480.00,93.00,12.0416,12.0830,12.8062,12.3103,192.35,119.21,123.90,6.7106
35,478.00,114.00,12.1655,12.2066,12.5300,12.3007,192.20,115.53,128.07,6.8992
