Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,505.00,247.00,14.2127,15.0000,19.0263,16.0797,251.24,87.58,47.70,8.0428
1,434.00,488.00,10.8167,13.1529,14.0000,12.6565,197.76,137.56,123.69,8.3406
2,500.00,192.00,14.4222,15.2971,18.4391,16.0528,250.82,112.38,133.78,8.5003
3,73.00,451.00,11.6619,11.6619,13.0384,12.1207,189.39,118.07,116.57,8.7667
4,367.00,257.00,13.8924,16.1245,16.1555,15.3908,240.48,150.00,37.94,9.6831
5,279.00,333.00,15.6525,16.5529,16.7631,16.3228,255.04,141.58,80.79,11.0215
6,430.00,217.00,10.8167,15.2315,15.2643,13.7708,215.17,79.51,92.08,10.5553
7,210.00,476.00,11.1803,12.1655,13.6015,12.3158,192.43,126.03,117.41,7.2475
8,451.00,317.00,12.0416,12.0830,12.0830,12.0692,188.58,109.68,119.21,7.3989
9,470.00,306.00,12.1655,12.2066,12.5300,12.3007,192.20,134.45,109.15,7.4259
10,172.00,492.00,12.0830,12.8062,13.1529,12.6807,198.14,116.90,123.19,7.5254
11,421.00,193.00,13.4536,17.0000,18.0000,16.1512,252.36,76.09,138.01,8.6954
12,153.00,500.00,11.6619,13.0384,17.4642,14.0549,219.61,116.57,82.67,7.4558
13,6.00,53.00,11.1803,14.1421,18.4391,14.5872,227.92,92.17,140.91,6.6648
14,404.00,396.00,15.0333,15.6525,16.1245,15.6034,243.80,157.25,79.06,7.0275
15,410.00,484.00,11.1803,12.0416,12.0830,11.7683,183.88,128.06,124.75,6.6681
16,8.00,506.00,11.3137,19.2354,20.3961,16.9817,265.34,36.03,56.31,6.4181
17,474.00,458.00,10.0000,13.4164,13.4536,12.2900,192.03,116.57,131.99,6.8059
18,453.00,466.00,12.0416,12.0830,12.1655,12.0967,189.01,113.92,122.17,6.8178
19,119.00,476.00,12.0416,12.0830,12.8062,12.3103,192.35,119.21,123.90,7.3033
20,456.00,445.00,12.0416,12.0830,12.8062,12.3103,192.35,119.21,123.90,6.7031
