Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,279.00,5.00,17.4642,19.0263,21.4709,19.3205,301.88,79.77,49.00,8.3355
1,44.00,7.00,15.2643,15.2971,17.1172,15.8929,248.33,159.70,65.10,8.4474
2,47.00,41.00,13.6015,14.8661,15.6525,14.7067,229.79,87.45,133.67,8.8319
3,492.00,116.00,11.0454,12.5300,14.8661,12.8138,200.22,23.42,132.53,8.2303
4,57.00,15.00,13.0000,15.2315,15.2643,14.4986,226.54,44.18,81.01,7.9977
5,152.00,212.00,13.1529,14.8661,15.1327,14.3839,224.75,79.09,73.66,8.0021
6,48.00,335.00,14.8661,15.0333,16.5529,15.4841,241.94,38.46,112.71,7.5292
7,422.00,488.00,10.8167,12.6491,16.4012,13.2890,207.64,164.74,71.26,7.8007
8,398.00,372.00,11.1803,12.5300,14.4222,12.7108,198.61,128.92,136.01,7.5952
9,399.00,259.00,17.0000,17.4642,17.8045,17.4229,272.23,166.76,51.84,8.3062
10,14.00,43.00,14.8661,15.2315,15.8114,15.3030,239.11,70.92,166.97,8.8000
11,489.00,426.00,12.1655,12.5300,12.8062,12.5006,195.32,128.07,119.20,7.0240
12,450.00,96.00,14.3178,15.0000,15.2643,14.8607,232.20,155.22,109.51,7.6846
13,62.00,3.00,10.8167,13.0000,15.0333,12.9500,202.34,78.93,29.88,5.3685
14,506.00,355.00,20.3961,20.6155,21.0000,20.6705,322.98,55.86,168.69,6.9368
15,422.00,293.00,11.3137,11.4018,12.0830,11.5995,181.24,119.74,110.56,7.5992
16,11.00,9.00,17.0294,17.4642,18.6815,17.7251,276.95,69.74,108.89,7.6456
17,325.00,141.00,15.1327,15.2315,17.2047,15.8563,247.75,59.21,62.06,8.7811
18,329.00,56.00,13.4536,13.6015,13.6015,13.5522,211.75,78.01,174.04,7.1962
19,456.00,508.00,11.7047,12.0416,20.8087,14.8516,232.06,114.75,34.80,8.6062
20,507.00,489.00,16.5529,17.8045,18.0000,17.4525,272.69,63.17,64.98,6.2239
21,29.00,4.00,12.1655,15.2971,18.6815,15.3814,240.33,88.15,65.01,7.0121
22,380.00,256.00,15.5242,16.1245,19.0000,16.8829,263.80,44.68,104.93,8.0998
23,366.00,5.00,12.5300,14.0357,16.0312,14.1990,221.86,122.70,64.97,6.5569
24,283.00,22.00,13.0000,16.1555,16.4924,15.2160,237.75,44.42,98.58,7.8947
25,365.00,120.00,12.1655,12.2066,12.5300,12.3007,192.20,134.45,109.15,6.8724
26,329.00,76.00,12.0416,13.4536,13.4536,12.9829,202.86,83.62,179.65,7.2529
27,506.00,260.00,9.0554,12.0416,13.1529,11.4166,178.39,168.90,87.59,6.9797
28,475.00,393.00,12.0416,12.0830,13.4536,12.5261,195.72,109.68,136.75,6.5514
29,507.00,313.00,12.0830,13.6015,19.2354,14.9733,233.96,119.53,93.45,5.9250
30,422.00,173.00,12.1655,12.7279,15.2643,13.3859,209.16,125.54,131.07,7.8151
31,42.00,55.00,12.0000,14.8661,14.8661,13.9107,217.35,70.35,70.35,8.2184
32,29.00,443.00,14.3178,17.0294,17.4642,16.2705,254.23,74.54,178.85,8.2070
33,5.00,481.00,12.2066,13.0000,19.3132,14.8399,231.87,122.39,33.76,6.4367
34,333.00,5.00,14.2127,17.0294,18.8680,16.7033,260.99,132.66,97.28,5.6653
35,17.00,220.00,10.4403,12.0830,12.1655,11.5630,180.67,138.86,116.16,6.4850
36,506.00,281.00,9.0554,12.0416,14.0357,11.7109,182.98,168.90,92.25,6.6460
37,506.00,99.00,10.4403,12.0416,16.1555,12.8791,201.24,111.46,38.50,6.5467
38,59.00,345.00,9.8489,14.8661,15.6525,13.4558,210.25,71.69,140.53,6.2752
39,487.00,448.00,12.1655,12.2066,13.6015,12.6579,197.78,134.45,116.57,6.5354
40,18.00,76.00,14.7648,16.4012,17.0000,16.0553,250.86,65.87,118.30,8.2476
41,462.00,87.00,14.8661,15.0000,19.4165,16.4275,256.68,79.14,59.61,7.0326
42,458.00,109.00,15.2643,16.2788,19.1050,16.8827,263.79,69.01,142.38,6.6798
43,45.00,352.00,15.6205,15.6525,16.1245,15.7992,246.86,113.63,69.55,6.5474
44,401.00,300.00,12.8062,13.0384,13.8924,13.2457,206.96,83.81,98.40,6.8067
45,305.00,149.00,14.7648,17.0880,17.1172,16.3234,255.05,131.14,158.41,8.6942
46,484.00,470.00,11.7047,12.0416,15.6205,13.1223,205.04,158.35,109.82,6.5978
47,43.00,389.00,14.3178,16.1245,18.0278,16.1567,252.45,107.65,62.05,7.5924
48,92.00,189.00,7.0711,15.2971,15.6525,12.6735,198.02,109.44,145.30,8.8141
49,14.00,432.00,14.3178,17.0000,18.0278,16.4485,257.01,176.70,62.05,7.1605
50,500.00,5.00,7.2801,17.0294,19.6469,14.6521,228.94,70.69,149.31,4.7299
51,502.00,302.00,10.2956,11.1803,12.0830,11.1863,174.79,108.75,126.50,6.9027
52,444.00,421.00,17.0294,18.3576,18.4391,17.9420,280.34,57.28,80.84,5.3993
53,335.00,25.00,13.8924,14.2127,17.1172,15.0741,235.53,99.03,53.03,6.2379
54,385.00,67.00,13.0384,13.1529,13.6015,13.2643,207.25,175.65,77.30,6.7169
55,397.00,320.00,12.7279,13.4164,14.2127,13.4523,210.19,108.43,174.29,6.4243
56,506.00,164.00,9.0554,13.0384,18.3848,13.4929,210.83,100.74,28.72,6.0133
57,402.00,5.00,10.1980,15.0333,17.0294,14.0869,220.11,82.50,28.93,5.6770
58,18.00,59.00,14.1421,14.7648,16.4924,15.1331,236.46,163.30,59.04,8.5252
59,42.00,24.00,15.2643,17.0000,17.1172,16.4605,257.20,86.46,155.10,8.1053
60,277.00,37.00,11.4018,13.9284,14.8661,13.3987,209.36,126.29,117.02,7.6788
61,392.00,361.00,12.5300,13.4536,13.8924,13.2920,207.69,103.38,178.35,6.4089
62,424.00,225.00,5.0990,15.5242,19.3132,13.3121,208.00,63.76,32.56,6.8026
63,507.00,145.00,16.1555,16.9706,18.0000,17.0420,266.28,66.80,111.80,5.4465
64,44.00,318.00,16.2788,17.4642,17.8045,17.1825,268.48,156.14,41.22,5.0823
65,427.00,272.00,13.0000,13.3417,14.1421,13.4946,210.85,77.01,98.13,6.6804
66,506.00,334.00,12.2066,18.3848,20.0000,16.8638,263.50,77.39,18.14,5.6190
67,309.00,86.00,10.2956,11.0000,11.6619,10.9858,171.65,119.05,119.98,7.7769
68,476.00,499.00,12.8062,16.1245,16.2788,15.0699,235.47,134.22,139.28,6.0096
69,350.00,45.00,13.0000,13.0000,13.3417,13.1139,204.90,180.00,77.01,7.1461
70,428.00,205.00,19.1050,19.1050,19.6469,19.2856,301.34,175.76,118.14,5.8160
71,31.00,360.00,12.1655,16.1245,17.0294,15.1065,236.04,140.79,149.23,6.6821
72,11.00,314.00,10.6301,11.0000,12.5300,11.3867,177.92,131.19,110.20,5.3795
73,13.00,292.00,13.0384,13.6015,17.4642,14.7014,229.71,111.50,109.23,4.9270
74,298.00,4.00,11.0000,13.0000,17.0000,13.6667,213.54,90.00,61.93,5.8860
75,451.00,77.00,14.8661,17.4929,19.0263,17.1284,267.63,73.24,50.74,6.8785
76,10.00,26.00,15.2315,17.0294,17.4642,16.5751,258.99,109.83,53.56,6.9145
77,367.00,57.00,12.6491,13.0000,14.1421,13.2637,207.25,175.82,79.70,6.9633
78,435.00,327.00,12.0830,12.1655,13.0384,12.4290,194.20,123.91,123.08,6.6946
79,179.00,197.00,10.0499,14.1421,15.8114,13.3345,208.35,76.16,114.15,7.6644
80,433.00,85.00,14.3178,14.8661,17.4929,15.5589,243.11,82.44,43.06,6.0640
81,491.00,300.00,11.1803,14.1421,15.5563,13.6263,212.91,145.30,124.70,6.3057
82,41.00,502.00,15.1327,16.0312,20.0000,17.0547,266.48,101.17,134.46,5.9130
83,374.00,347.00,11.1803,11.7047,12.0416,11.6422,181.91,120.29,121.33,6.1646
84,460.00,412.00,11.0454,17.0000,18.2483,15.4312,241.11,157.12,85.73,5.3294
85,58.00,403.00,12.8062,13.1529,15.8114,13.9235,217.56,150.09,73.35,8.9988
86,19.00,392.00,12.0416,12.0416,16.6433,13.5755,212.12,126.87,164.37,5.2986
87,371.00,89.00,11.0454,11.6619,12.2066,11.6379,181.84,126.16,119.80,5.8974
