Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,288.00,61.00,24.6982,26.0768,39.0000,29.9250,233.79,126.16,148.24,0.5833
1,421.00,665.00,27.1662,40.1995,41.6773,36.3477,283.97,90.63,156.08,0.5705
2,892.00,329.00,24.8395,25.2389,25.3180,25.1321,196.34,106.21,139.19,0.5802
3,998.00,510.00,37.0135,38.9102,42.1070,39.3436,307.37,65.64,177.46,0.5451
4,756.00,869.00,24.4131,26.0000,26.4197,25.6109,200.09,124.99,115.53,0.5817
5,202.00,339.00,25.2389,25.8070,26.1725,25.7394,201.09,110.77,117.11,0.5618
6,994.00,631.00,39.0128,40.0125,42.7200,40.5818,317.05,179.96,17.78,0.5200
7,756.00,563.00,23.8537,24.1868,27.0185,25.0197,195.47,117.23,120.90,0.4939
8,363.00,105.00,25.2982,25.4951,38.0132,29.6022,231.27,133.99,70.06,0.5670
9,160.00,966.00,24.2074,25.0200,41.0122,30.0799,235.00,126.00,143.11,0.5309
10,442.00,793.00,24.4131,27.2947,27.2947,26.3342,205.74,116.57,116.57,0.5095
11,448.00,668.00,25.8070,26.0768,27.1662,26.3500,205.86,111.99,119.20,0.5309
12,915.00,370.00,23.3238,26.6271,27.0185,25.6565,200.44,114.75,123.08,0.4686
13,643.00,883.00,22.0227,39.6611,39.8246,33.8361,264.34,95.78,157.97,0.5459
14,484.00,955.00,25.6125,28.3019,39.0000,30.9715,241.96,109.33,38.66,0.5021
15,122.00,987.00,23.7065,25.5539,30.0666,26.4423,206.58,121.77,113.83,0.5079
16,527.00,815.00,20.2485,23.6008,42.0476,28.6323,223.69,123.39,157.05,0.4947
17,285.00,871.00,22.8254,25.3180,26.0768,24.7401,193.28,127.90,118.72,0.4898
18,124.00,38.00,23.7065,25.0000,27.0185,25.2417,197.20,115.48,119.77,0.4969
19,955.00,390.00,24.1661,26.6271,28.0000,26.2644,205.19,121.27,114.44,0.4575
20,585.00,880.00,24.1868,26.1725,26.6271,25.6621,200.49,126.33,131.41,0.4810
21,865.00,790.00,25.0599,25.8070,27.1662,26.0110,203.21,115.85,124.95,0.4715
22,228.00,379.00,22.2036,25.4951,27.0185,24.9057,194.58,118.60,123.72,0.4866
23,974.00,814.00,23.7065,25.6125,26.0000,25.1063,196.14,113.69,117.65,0.4849
24,962.00,154.00,23.0217,24.6982,26.0768,24.5989,192.18,113.86,128.78,0.4850
25,320.00,890.00,24.0208,24.1868,24.6982,24.3019,189.86,117.36,124.15,0.4690
