Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
4974,79.00,566.00,5.3852,6.3246,7.0711,6.2603,195.63,86.63,29.93,0.2343
4975,217.00,673.00,5.0000,5.6569,7.6158,6.0909,190.34,135.00,113.20,0.3231
4976,136.00,593.00,6.0828,6.4031,7.6158,6.7006,209.39,119.20,122.66,0.3115
4977,1011.00,517.00,5.0000,6.7082,7.8102,6.5062,203.32,100.30,2.94,0.2563
4978,605.00,882.00,3.1623,5.3852,5.8310,4.7928,149.77,139.76,77.47,0.3330
4979,969.00,948.00,4.0000,5.8310,6.0828,5.3046,165.77,120.96,9.46,0.2895
4980,961.00,635.00,5.3852,5.3852,6.3246,5.6983,178.07,136.40,93.37,0.2196
4981,208.00,86.00,4.1231,4.2426,7.8102,5.3920,168.50,149.04,143.84,0.3060
4982,286.00,67.00,5.6569,6.7082,9.0000,7.1217,222.55,108.43,45.00,0.2206
4983,942.00,696.00,5.0000,6.4031,6.4031,5.9354,185.48,128.66,128.66,0.2768
4984,99.00,20.00,3.1623,5.0000,5.3852,4.5158,141.12,108.43,139.76,0.2756
4985,762.00,53.00,5.0990,5.8310,7.0711,6.0003,187.51,137.73,109.44,0.2585
4986,551.00,778.00,6.0000,7.0711,8.0623,7.0444,220.14,135.00,97.13,0.2842
4987,120.00,570.00,4.1231,6.3246,7.0711,5.8396,182.49,122.47,120.96,0.2255
4988,942.00,462.00,5.0990,5.8310,8.0623,6.3307,197.84,137.73,108.43,0.2811
4989,297.00,453.00,3.6056,8.0000,8.0623,6.5559,204.87,33.69,176.05,0.2358
4990,964.00,428.00,5.8310,6.0828,7.0000,6.3046,197.02,139.57,120.96,0.2299
4991,977.00,65.00,5.0990,5.3852,7.6158,6.0333,188.54,100.49,145.49,0.2717
4992,428.00,930.00,5.8310,7.0711,7.8102,6.9041,215.75,129.09,109.23,0.2283
4993,963.00,33.00,3.1623,5.0000,5.3852,4.5158,141.12,18.43,130.24,0.3125
4994,356.00,50.00,5.0000,5.0990,6.3246,5.4745,171.08,154.44,108.43,0.2468
4995,903.00,556.00,5.6569,6.0000,6.7082,6.1217,191.30,135.00,108.43,0.2536
4996,311.00,669.00,6.0000,6.4031,6.7082,6.3704,199.08,141.34,116.57,0.2856
4997,515.00,697.00,6.7082,7.2111,9.0554,7.6582,239.32,97.13,147.09,0.2188
4998,826.00,12.00,5.3852,6.4031,7.8102,6.5328,204.15,163.14,108.00,0.3449
4999,765.00,360.00,5.8310,5.8310,7.0000,6.2206,194.39,118.07,120.96,0.2434
5000,1015.00,397.00,5.0000,6.0828,7.8102,6.2977,196.80,136.33,103.32,0.2335
5001,445.00,146.00,3.1623,5.3852,5.8310,4.7928,149.77,93.37,139.40,0.2666
5002,894.00,930.00,5.8310,6.4031,7.2801,6.5047,203.27,110.38,136.91,0.2449
5003,933.00,571.00,5.0000,5.3852,6.3246,5.5699,174.06,105.07,161.57,0.2054
5004,218.00,179.00,4.1231,5.8310,7.6158,5.8566,183.02,135.00,127.23,0.2972
5005,330.00,495.00,5.0990,5.0990,5.6569,5.2850,165.16,90.00,123.69,0.2594
5006,942.00,1008.00,2.0000,4.1231,6.4031,4.1754,130.48,165.96,51.34,0.2980
5007,703.00,753.00,5.0990,6.4031,6.7082,6.0701,189.69,117.35,127.88,0.2650
5008,482.00,713.00,5.0000,6.3246,10.0000,7.1082,222.13,108.43,143.13,0.2389
5009,811.00,73.00,5.8310,6.0828,6.4031,6.1056,190.80,130.43,110.38,0.2738
5010,471.00,738.00,3.6056,6.0828,6.4031,5.3638,167.62,136.85,4.97,0.2875
5011,387.00,181.00,4.4721,5.8310,7.6158,5.9730,186.65,94.40,49.76,0.2750
5012,895.00,961.00,5.0000,5.3852,6.4031,5.5961,174.88,111.80,141.34,0.2841
5013,418.00,602.00,5.3852,6.4031,9.0000,6.9294,216.54,150.46,111.80,0.2455
5014,345.00,527.00,6.0828,7.2111,7.2111,6.8350,213.59,133.15,114.23,0.2613
5015,579.00,589.00,6.0000,9.0554,10.8167,8.6240,269.50,96.34,33.69,0.2247
5016,135.00,185.00,5.0990,5.6569,7.2111,5.9890,187.16,146.31,112.38,0.2590
5017,425.00,925.00,5.0000,5.8310,6.0828,5.6379,176.18,112.17,136.33,0.2494
5018,695.00,1018.00,5.0990,8.0000,9.4340,7.5110,234.72,11.31,20.70,0.2453
5019,5.00,709.00,3.6056,6.4031,7.8102,5.9396,185.61,107.65,6.12,0.3102
5020,131.00,73.00,3.1623,3.1623,7.2801,4.5349,141.72,180.00,55.62,0.3150
5021,620.00,895.00,5.0000,6.3246,7.0711,6.1319,191.62,108.43,135.00,0.3087
5022,341.00,533.00,4.4721,7.2111,7.2801,6.3211,197.53,119.74,132.51,0.2356
5023,127.00,700.00,4.4721,7.2111,8.0623,6.5818,205.68,119.74,146.31,0.2973
5024,685.00,698.00,5.0990,9.8489,9.8489,8.2656,258.30,35.27,144.73,0.2325
5025,532.00,671.00,2.8284,5.0000,5.3852,4.4045,137.64,171.87,66.80,0.2535
5026,538.00,107.00,4.4721,5.6569,7.2801,5.8030,181.34,161.57,10.62,0.2840
5027,881.00,351.00,5.0000,6.0000,6.3246,5.7749,180.46,126.87,124.70,0.2567
5028,973.00,497.00,6.0828,6.7082,9.8489,7.5466,235.83,107.10,146.58,0.2225
5029,186.00,222.00,5.0990,5.8310,6.0828,5.6709,177.22,137.73,110.77,0.2628
5030,877.00,110.00,3.1623,6.4031,7.0711,5.5455,173.30,20.22,153.43,0.3194
5031,48.00,983.00,5.0000,9.0554,9.4340,7.8298,244.68,96.34,32.01,0.2385
5032,508.00,732.00,5.3852,5.8310,8.9443,6.7201,210.00,127.23,94.76,0.2459
5033,299.00,860.00,3.1623,5.6569,5.8310,4.8834,152.61,116.57,139.40,0.2558
5034,1019.00,611.00,5.6569,6.7082,10.1980,7.5210,235.03,108.43,33.69,0.2609
5035,463.00,748.00,3.1623,5.0000,6.0000,4.7208,147.52,108.43,18.43,0.2793
5036,861.00,1014.00,6.3246,6.4031,6.4031,6.3769,199.28,147.09,122.91,0.2909
5037,216.00,441.00,6.3246,7.0711,9.2195,7.5384,235.57,116.57,30.96,0.2581
5038,858.00,339.00,4.4721,6.0000,6.4031,5.6251,175.78,116.57,114.78,0.3295
5039,43.00,738.00,4.4721,5.0000,7.2111,5.5611,173.78,153.43,119.74,0.2874
5040,239.00,237.00,4.1231,5.0000,5.8310,4.9847,155.77,104.04,135.00,0.2460
5041,343.00,449.00,5.8310,8.5440,9.4340,7.9363,248.01,100.41,91.04,0.2326
5042,810.00,258.00,5.3852,6.0828,6.4031,5.9570,186.16,121.26,119.54,0.2688
5043,48.00,104.00,5.8310,6.0828,6.3246,6.0794,189.98,130.43,130.60,0.3495
5044,944.00,612.00,5.0990,5.3852,7.2111,5.8984,184.33,146.89,45.00,0.2308
5045,143.00,686.00,5.0000,6.0828,6.0828,5.7218,178.81,152.59,133.67,0.2849
5046,515.00,923.00,3.6056,6.0000,6.0000,5.2019,162.56,146.31,123.69,0.2676
5047,624.00,59.00,4.2426,5.8310,6.0000,5.3579,167.43,104.04,135.00,0.2915
5048,861.00,68.00,6.0828,6.4031,7.6158,6.7006,209.39,119.20,122.66,0.2566
5049,227.00,775.00,3.1623,6.0000,7.2801,5.4808,171.27,108.43,2.49,0.2373
5050,116.00,545.00,3.6056,7.8102,8.0623,6.4927,202.90,173.88,63.43,0.2965
5051,138.00,973.00,6.7082,7.2111,8.9443,7.6212,238.16,119.74,143.13,0.2134
5052,140.00,474.00,6.7082,7.0711,7.2801,7.0198,219.37,108.43,137.49,0.2778
5053,1005.00,567.00,7.0711,10.6301,10.7703,9.4905,296.58,93.81,156.80,0.2297
5054,62.00,625.00,2.2361,7.0711,8.0000,5.7690,180.28,71.57,116.57,0.3755
5055,806.00,989.00,5.0990,9.2195,9.2195,7.8460,245.19,150.71,178.78,0.2186
5056,107.00,927.00,6.0828,7.0711,8.0623,7.0720,221.00,125.54,129.21,0.2213
5057,160.00,892.00,5.6569,6.3246,9.2195,7.0670,220.84,116.57,32.47,0.2497
5058,795.00,1002.00,5.3852,5.6569,7.0711,6.0377,188.68,113.20,23.20,0.3010
5059,329.00,340.00,6.7082,9.4868,10.0000,8.7317,272.86,135.00,153.43,0.2461
5060,495.00,284.00,4.4721,8.0623,9.2195,7.2513,226.60,109.44,165.96,0.2670
5061,720.00,11.00,4.4721,5.3852,9.0554,6.3042,197.01,131.63,32.91,0.2366
5062,202.00,677.00,4.1231,5.3852,6.3246,5.2776,164.93,54.16,175.60,0.3045
5063,795.00,415.00,5.3852,5.8310,8.0623,6.4261,200.82,127.23,118.93,0.2580
5064,529.00,818.00,5.0000,5.8310,7.2111,6.0140,187.94,149.04,123.69,0.2962
5065,829.00,1016.00,6.4031,7.0711,8.0623,7.1788,224.34,120.53,148.47,0.2698
5066,923.00,233.00,5.0000,6.7082,7.0711,6.2598,195.62,116.57,135.00,0.2925
