Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,1018.00,520.00,12.0830,19.0263,20.0250,17.0448,266.32,27.46,152.69,5.6090
1,82.00,739.00,11.0454,18.1108,18.7883,15.9815,249.71,88.85,149.60,5.5711
2,608.00,568.00,11.7047,12.0000,13.0384,12.2477,191.37,109.98,127.55,4.6528
3,772.00,841.00,12.2066,12.5300,20.0000,14.9122,233.00,116.40,145.01,4.6970
4,985.00,458.00,12.0416,12.5300,13.4164,12.6627,197.85,123.37,111.80,5.1175
5,365.00,11.00,10.0000,11.4018,13.0384,11.4801,179.38,105.26,131.27,4.7186
6,510.00,407.00,11.1803,11.4018,13.4164,11.9995,187.49,138.18,106.26,4.5522
7,75.00,527.00,12.0416,12.2066,12.2066,12.1516,189.87,120.23,129.76,5.1439
8,963.00,161.00,11.4018,11.7047,19.7231,14.2765,223.07,122.14,97.41,5.2226
9,180.00,906.00,12.0416,12.2066,13.0000,12.4161,194.00,120.23,117.38,4.7281
10,297.00,357.00,9.4340,12.0000,13.4164,11.6168,181.51,122.01,121.43,4.9225
11,37.00,565.00,11.0454,19.0263,19.7231,16.5982,259.35,92.18,154.73,4.9202
12,99.00,377.00,10.0000,11.0000,13.0000,11.3333,177.08,126.87,120.51,4.8947
13,58.00,496.00,11.1803,11.4018,13.0000,11.8607,185.32,138.18,102.32,4.6344
14,137.00,693.00,12.0416,12.5300,19.0263,14.5326,227.07,123.37,97.78,4.6876
15,634.00,712.00,12.5300,13.6015,18.3576,14.8297,231.71,115.36,147.97,4.7032
16,180.00,140.00,10.6301,11.0454,12.0830,11.2529,175.83,136.38,114.37,5.0181
17,60.00,456.00,10.8167,12.0416,13.0384,11.9656,186.96,128.45,113.84,4.9503
18,825.00,834.00,11.4018,12.0830,13.0000,12.1616,190.03,117.68,127.87,4.8410
19,114.00,18.00,11.4018,13.4164,15.0000,13.2727,207.39,115.56,142.13,4.3687
20,7.00,424.00,9.4868,11.4018,13.0000,11.2962,176.50,146.31,108.43,4.6165
21,116.00,408.00,11.4018,12.0000,12.5300,11.9772,187.14,127.87,113.51,4.8594
22,395.00,170.00,11.7047,12.0416,12.2066,11.9843,187.25,114.75,125.02,5.0595
23,764.00,983.00,11.1803,11.6619,12.0416,11.6279,181.69,122.47,111.80,4.6675
24,147.00,509.00,11.1803,11.6619,14.0357,12.2926,192.07,122.47,120.65,4.9935
25,264.00,294.00,11.4018,11.6619,19.7231,14.2622,222.85,111.16,97.41,4.6657
26,142.00,198.00,10.6301,12.1655,13.0000,11.9319,186.44,140.65,116.19,4.5588
27,582.00,291.00,12.0830,14.3178,16.1555,14.1855,221.65,143.46,87.36,4.7845
28,36.00,585.00,14.0357,14.4222,20.0250,16.1610,252.51,119.60,88.78,4.6329
29,919.00,748.00,10.8167,12.0000,12.0830,11.6332,181.77,123.69,121.87,4.6537
30,576.00,100.00,12.0830,12.5300,13.0384,12.5505,196.10,126.95,118.84,4.6486
31,151.00,782.00,10.0000,19.1050,19.2354,16.1135,251.77,42.88,98.97,4.4461
32,491.00,766.00,12.0416,13.0384,13.4164,12.8321,200.50,117.71,121.33,4.3268
33,71.00,588.00,12.2066,13.0384,19.2354,14.8268,231.67,112.54,82.91,4.6416
34,761.00,666.00,11.6619,12.0830,13.0384,12.2611,191.58,124.59,116.57,4.5609
35,49.00,716.00,12.2066,13.0000,14.0357,13.0807,204.39,122.39,120.91,4.7663
36,269.00,6.00,11.6619,12.0000,18.7883,14.1501,221.09,120.96,95.76,4.0008
37,93.00,871.00,11.6619,12.0000,12.0830,11.9150,186.17,120.96,124.59,4.6471
38,113.00,822.00,12.0416,19.0263,19.2354,16.7678,262.00,97.78,156.87,4.2934
39,755.00,810.00,11.0454,11.4018,18.7883,13.7451,214.77,122.68,30.40,4.5760
40,193.00,250.00,11.6619,12.0830,13.0000,12.2483,191.38,124.59,120.96,4.8970
41,632.00,16.00,10.8167,12.0416,12.0830,11.6471,181.99,118.93,121.87,4.3346
42,75.00,507.00,12.2066,13.0384,14.3178,13.1876,206.06,120.59,120.23,4.7984
43,707.00,674.00,11.4018,13.1529,20.0000,14.8516,232.06,119.13,142.13,4.1823
44,62.00,415.00,10.2956,11.0000,12.2066,11.1674,174.49,119.05,115.95,4.8950
45,114.00,448.00,9.8489,13.0000,20.0250,14.2913,223.30,113.96,153.18,4.7422
46,604.00,987.00,11.4018,12.0830,13.0384,12.1744,190.23,117.68,132.27,4.5038
47,887.00,664.00,10.4403,12.2066,20.0998,14.2489,222.64,128.31,157.59,4.8366
48,25.00,435.00,12.0830,12.2066,13.0000,12.4299,194.22,120.56,114.44,4.6939
49,928.00,941.00,11.6619,13.6015,19.2354,14.8329,231.76,113.01,93.07,4.3132
50,73.00,548.00,11.0454,12.0830,12.2066,11.7783,184.04,109.25,130.19,4.8442
51,790.00,832.00,11.6619,18.8680,19.0000,16.5100,257.97,152.97,30.96,4.6399
52,906.00,990.00,11.1803,13.0384,13.4164,12.5451,196.02,120.96,126.87,4.5549
53,549.00,267.00,10.8167,12.0000,13.0384,11.9517,186.75,123.69,113.84,4.5251
54,873.00,557.00,10.7703,13.9284,18.0000,14.2329,222.39,132.84,68.20,4.2629
55,171.00,361.00,12.0000,12.5300,13.0000,12.5100,195.47,118.61,112.62,4.5748
56,907.00,879.00,10.8167,12.0830,13.0000,11.9666,186.98,121.87,123.69,4.2777
57,367.00,229.00,11.6619,12.0416,12.8062,12.1699,190.15,125.73,110.38,4.1609
58,146.00,550.00,11.0000,12.8062,13.0384,12.2816,191.90,128.66,122.47,4.9402
59,25.00,415.00,10.2956,13.0000,13.0000,12.0985,189.04,119.05,128.33,5.0202
60,147.00,530.00,11.0454,12.0416,12.5300,11.8723,185.50,136.83,113.42,4.8946
61,900.00,757.00,11.1803,11.6619,13.0000,11.9474,186.68,122.47,116.57,4.7204
62,877.00,500.00,9.2195,11.7047,13.0384,11.3209,176.89,122.51,16.93,4.4134
63,503.00,437.00,11.6619,12.0416,12.0830,11.9288,186.39,116.20,124.59,4.2277
64,985.00,91.00,11.1803,12.1655,12.2066,11.8508,185.17,107.10,118.44,5.2390
65,40.00,858.00,11.4018,12.5300,19.7231,14.5516,227.37,113.51,97.41,4.4563
66,23.00,474.00,12.1655,12.2066,19.0000,14.4574,225.90,115.53,99.46,4.7594
67,691.00,1019.00,10.0000,18.0000,19.6977,15.8992,248.43,90.00,23.96,5.2587
68,20.00,536.00,11.1803,13.0384,17.0000,13.7396,214.68,112.17,91.51,4.4694
69,123.00,57.00,11.0000,12.0416,13.8924,12.3113,192.36,131.63,120.26,4.1356
70,60.00,809.00,12.0830,12.2066,13.0000,12.4299,194.22,120.56,114.44,4.6257
71,418.00,302.00,11.6619,12.0000,12.5300,12.0640,188.50,120.96,120.43,4.3430
72,152.00,238.00,11.0000,12.5300,12.8062,12.1121,189.25,118.61,128.66,4.3531
73,154.00,703.00,12.0830,13.1529,19.0263,14.7541,230.53,105.70,152.54,4.4448
74,556.00,871.00,12.0000,12.2066,13.4164,12.5410,195.95,124.99,116.57,4.2470
75,20.00,555.00,18.3576,18.6011,19.0000,18.6529,291.45,65.61,119.36,4.6348
76,134.00,247.00,11.1803,11.4018,13.0000,11.8607,185.32,115.56,116.57,4.3040
77,799.00,134.00,11.6619,12.0416,12.2066,11.9700,187.03,125.73,114.04,4.6503
78,456.00,744.00,11.6619,12.0830,13.1529,12.2993,192.18,124.59,112.22,4.5721
79,55.00,556.00,11.1803,12.0830,12.2066,11.8233,184.74,124.75,114.69,4.7934
80,827.00,413.00,11.1803,12.5300,17.0294,13.5799,212.19,108.31,103.67,4.3020
81,123.00,509.00,12.0416,12.5300,12.8062,12.4593,194.68,123.37,123.90,4.7522
82,696.00,437.00,12.0000,12.2066,12.5300,12.2455,191.34,124.99,118.61,3.9092
83,107.00,27.00,11.4018,11.6619,13.0000,12.0212,187.83,111.16,127.88,4.2214
84,635.00,254.00,12.0830,13.0384,13.0384,12.7200,198.75,123.08,118.84,4.1980
85,55.00,577.00,9.0554,10.2956,13.0384,10.7965,168.69,112.71,128.81,4.8123
86,208.00,605.00,12.0000,12.0830,13.0384,12.3738,193.34,114.44,122.47,4.3157
87,371.00,168.00,11.6619,12.0416,12.5300,12.0778,188.72,116.20,120.43,4.1518
88,765.00,92.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,4.2763
89,556.00,779.00,11.6619,12.5300,13.0384,12.4101,193.91,120.43,116.57,3.7793
90,193.00,553.00,11.6619,12.1655,13.0384,12.2886,192.01,130.43,116.57,4.0722
91,1008.00,1007.00,11.6619,12.1655,12.2066,12.0113,187.68,130.43,114.04,4.1361
92,91.00,558.00,11.0000,11.6619,13.0384,11.9001,185.94,120.96,122.47,4.8767
93,1017.00,43.00,12.0416,19.0000,20.0250,17.0222,265.97,94.76,88.10,4.3888
94,111.00,530.00,10.8167,11.0454,13.4164,11.7595,183.74,128.88,119.74,4.6389
95,779.00,923.00,11.6619,12.0416,12.5300,12.0778,188.72,125.73,120.43,4.1400
96,938.00,180.00,11.6619,12.2066,13.1529,12.3405,192.82,114.04,129.71,4.9162
97,42.00,1000.00,12.0416,12.5300,12.8062,12.4593,194.68,123.37,123.90,3.9520
98,698.00,10.00,9.2195,11.6619,13.1529,11.3448,177.26,99.64,130.65,4.1149
99,688.00,949.00,11.0000,12.2066,13.0384,12.0817,188.78,124.99,122.47,4.0689
100,779.00,902.00,11.0454,11.6619,12.2066,11.6379,181.84,126.16,119.80,4.0548
101,313.00,236.00,12.0416,12.2066,12.5300,12.2594,191.55,120.23,123.37,4.0331
102,176.00,89.00,11.4018,12.0416,13.0384,12.1606,190.01,132.64,109.65,4.0005
103,68.00,890.00,11.0454,11.6619,13.6015,12.1029,189.11,126.16,120.83,4.3209
104,423.00,202.00,12.0416,12.2066,12.5300,12.2594,191.55,120.23,123.37,4.1775
105,247.00,566.00,10.7703,12.5300,13.0000,12.1001,189.06,129.59,111.80,5.5138
106,622.00,843.00,11.0000,11.6619,12.2066,11.6228,181.61,120.96,124.99,4.0380
107,133.00,792.00,11.1803,11.4018,19.7231,14.1017,220.34,115.56,147.03,4.3270
108,926.00,869.00,12.0830,12.2066,13.0384,12.4427,194.42,120.56,110.05,4.0459
109,106.00,498.00,11.1803,12.0416,12.2066,11.8095,184.52,121.33,118.44,4.5061
110,9.00,959.00,12.2066,12.5300,20.0250,14.9205,233.13,116.40,147.87,3.6872
111,422.00,222.00,11.0000,11.4018,12.5300,11.6439,181.94,127.88,118.61,4.0850
112,306.00,770.00,12.2066,12.5300,13.0384,12.5916,196.74,116.40,120.59,3.8013
